,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,social media,Duration,0,Track time,0,503,937,972,209,0.8517118301449953,0.4228115359057708,24.336839610118467,0.90276330275344,0.5408921782330096,20.552371423360498
1,social media,Duration,0,Track time,5,503,937,952,209,0.850935804539212,0.42305578830367896,24.412628011545472,0.9022573422923869,0.541700494651957,20.637483119521356
2,social media,Duration,0,Track time,10,503,937,892,209,0.8522950453937783,0.42314036916926345,24.329238226226828,0.902995260820261,0.541837093855189,20.704805672584662
3,social media,Duration,0,Track time,15,503,937,774,209,0.8485193607977854,0.41019042159573943,24.746823130674578,0.8996562755178665,0.5267224442222443,21.5458149943884
4,social media,Duration,0,Track time,20,503,937,715,209,0.8467109470144997,0.40444702081337935,24.945390714710605,0.8990757377520637,0.5218912357652086,21.860840283941467
5,social media,Duration,0,Track time,25,503,937,654,209,0.8449141051153202,0.3979709337462061,25.267151076630853,0.8976680236292309,0.514385024201953,22.22464081617539
6,social media,Duration,0,Track time,30,503,937,601,209,0.8428609035688369,0.3927125130963332,25.033349242673843,0.8963177510592719,0.5080274420640725,21.634778657829862
7,social media,Duration,0,Track time,40,503,937,452,209,0.8415185815952316,0.38889917347462916,25.022506259979217,0.8962238407938534,0.5057795020074795,21.43487910837174
8,social media,Duration,5,Track time,0,323,937,972,209,0.8552692388523272,0.4275022743023522,24.066200000651072,0.9051265459909567,0.5469605431345858,20.59853982991987
9,social media,Duration,5,Track time,5,323,937,952,209,0.8545275771563529,0.4277430999301267,24.152841947365985,0.9046561417028832,0.5477753338203755,20.72686608916144
10,social media,Duration,5,Track time,10,323,937,892,209,0.8558210419603787,0.42782068854437644,24.059545101637624,0.9053762232758638,0.5479439393530434,20.604503054730625
11,social media,Duration,5,Track time,15,323,937,774,209,0.8519741590935332,0.4147648888475304,24.483182109031855,0.9020400209101355,0.5328672059293726,21.387801940875008
12,social media,Duration,5,Track time,20,323,937,715,209,0.8503307357337087,0.4092558978041619,24.637976313332334,0.9016264285895567,0.5284897789044181,21.697054005250084
13,social media,Duration,5,Track time,25,323,937,654,209,0.8486480917836702,0.40295728356088206,24.95657994637764,0.9003675519438343,0.5213606544955737,22.06794865763678
14,social media,Duration,5,Track time,30,323,937,601,209,0.8466322303401196,0.39772316549965947,24.789129609504087,0.899069381432225,0.5151495699953472,21.464939685553777
15,social media,Duration,5,Track time,40,323,937,452,209,0.8456210930745638,0.3943612607455475,24.621956301331092,0.8991011086219395,0.5132355357544335,21.03540860735085
16,social media,Duration,10,Track time,0,221,937,972,209,0.857375753735872,0.44291502357479917,24.361431783917727,0.9052601891463636,0.5629499794430999,21.513832055929647
17,social media,Duration,10,Track time,5,221,937,952,209,0.8566012608132243,0.44301877043342963,24.47281203699582,0.90477860163194,0.5636401716302462,21.63178656833427
18,social media,Duration,10,Track time,10,221,937,892,209,0.8578465029819243,0.44305168175140525,24.172225292467665,0.9054918421185602,0.5637464620366045,21.092138837127383
19,social media,Duration,10,Track time,15,221,937,774,209,0.8542518030262616,0.43070447422263297,24.71875075809563,0.902573864505379,0.55019278026284,21.98758769255847
20,social media,Duration,10,Track time,20,221,937,715,209,0.8527870585309831,0.4257071159851412,24.68178859987175,0.902325490761495,0.5466062741324246,21.930491911845024
21,social media,Duration,10,Track time,25,221,937,654,209,0.8509086487894931,0.4192678878411371,25.028193028210893,0.9009804803836823,0.5395453859988825,22.303848746229715
22,social media,Duration,10,Track time,30,221,937,601,209,0.848968779367577,0.4143501876827142,25.009901009469196,0.8998097139186548,0.5339999994624681,22.14597931097989
23,social media,Duration,10,Track time,40,221,937,452,209,0.8482838934039417,0.4115850726086128,24.89393822809115,0.8998863353246697,0.5324106759326968,21.919902947040477
24,social media,Duration,15,Track time,0,131,937,972,209,0.8517793858477366,0.4457344168644894,25.582561570233118,0.9043414465506037,0.5806152389967203,23.356379791681327
25,social media,Duration,15,Track time,5,131,937,952,209,0.8509382296026812,0.44570042494830214,25.698929739013703,0.9038442388652702,0.5811696663969315,23.474400824644242
