,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,social media,Rating,0,Comment count,0,503,937,972,209,0.8517118301449953,0.4228115359057708,24.336839610118467,0.90276330275344,0.5408921782330096,20.552371423360498
1,social media,Rating,0,Comment count,100,328,937,972,209,0.8543959216540581,0.4302472401087157,24.1188092558834,0.9043975945161918,0.5479910792649897,20.450806337298655
2,social media,Rating,0,Comment count,1000,160,937,972,209,0.8613081257037685,0.4558804662886795,23.3368454458127,0.91067975990692,0.580819875752946,19.191212187399426
3,social media,Rating,0,Comment count,10000,33,937,972,209,0.8256021306830943,0.3414070035959493,26.887090877912577,0.8971645862717849,0.4859062514260974,22.907162644316763
4,social media,Rating,0,Comment count,100000,1,937,972,209,0.8403156954571324,0.3918476061876301,25.353372381148816,0.8952697893040307,0.5064011248741254,21.83878215746653
5,social media,Rating,0,Comment count,1000000,0,937,972,209,0.8403156954571324,0.3918476061876301,25.353372381148816,0.8952697893040307,0.5064011248741254,21.83878215746653
6,social media,Rating,0,Comment count,10000000,0,937,972,209,0.8403156954571324,0.3918476061876301,25.353372381148816,0.8952697893040307,0.5064011248741254,21.83878215746653
7,social media,Rating,100,Comment count,0,503,937,972,77,0.851304238232703,0.4224248170182651,24.349007899353424,0.902177591576955,0.5396986469753494,20.505553215515327
8,social media,Rating,100,Comment count,100,328,937,972,77,0.8540172013308787,0.4299289164722195,24.023258596242446,0.9038657885414193,0.5469381895930465,20.073210743740013
9,social media,Rating,100,Comment count,1000,160,937,972,77,0.8609152698797968,0.4556496934758968,23.41491206143297,0.9101877135848092,0.5799663495120463,19.362392384841023
10,social media,Rating,100,Comment count,10000,33,937,972,77,0.8245531628866393,0.3398398517258534,26.819226503231498,0.8962570936719403,0.4836183779709099,22.64458337857616
11,social media,Rating,100,Comment count,100000,1,937,972,77,0.8396125712151961,0.39092956505867554,25.41781264641065,0.8943896109563431,0.5044536636502641,22.024002461678606
12,social media,Rating,100,Comment count,1000000,0,937,972,77,0.8396125712151961,0.39092956505867554,25.41781264641065,0.8943896109563431,0.5044536636502641,22.024002461678606
13,social media,Rating,100,Comment count,10000000,0,937,972,77,0.8396125712151961,0.39092956505867554,25.41781264641065,0.8943896109563431,0.5044536636502641,22.024002461678606
14,social media,Rating,1000,Comment count,0,503,937,972,44,0.8506189889711272,0.4212118431295536,24.421350400591162,0.9019515431074361,0.5387600609074443,20.58896249542191
15,social media,Rating,1000,Comment count,100,328,937,972,44,0.8534039249858019,0.42882112788376314,24.092818925026567,0.9037330958788887,0.5462318889392993,20.15609909325458
16,social media,Rating,1000,Comment count,1000,160,937,972,44,0.8605319371389741,0.45493004559172395,23.504057935910687,0.9101823922769468,0.5796655100614687,19.43869675709273
17,social media,Rating,1000,Comment count,10000,33,937,972,44,0.8235203530037908,0.33826791868282413,26.942475277201083,0.8958424101717326,0.48216411318419394,22.749331284767813
18,social media,Rating,1000,Comment count,100000,1,937,972,44,0.8387800320628547,0.389527218392466,25.505145589134806,0.8940232139964666,0.5031373058624548,22.10853312114859
19,social media,Rating,1000,Comment count,1000000,0,937,972,44,0.8387800320628547,0.389527218392466,25.505145589134806,0.8940232139964666,0.5031373058624548,22.10853312114859
20,social media,Rating,1000,Comment count,10000000,0,937,972,44,0.8387800320628547,0.389527218392466,25.505145589134806,0.8940232139964666,0.5031373058624548,22.10853312114859
21,social media,Rating,10000,Comment count,0,503,937,972,30,0.850517452173554,0.42107924540951086,24.435501279521137,0.9018862189107005,0.5385822207548188,20.603250761525967
22,social media,Rating,10000,Comment count,100,328,937,972,30,0.8533005939535937,0.4286831875001991,24.106881425026568,0.9036615174986191,0.5460388161545141,20.170298122380796
23,social media,Rating,10000,Comment count,1000,160,937,972,30,0.8604627561774701,0.45484008721439395,23.517003425126887,0.9101452483276045,0.5795552615243805,19.451767930670254
24,social media,Rating,10000,Comment count,10000,33,937,972,30,0.8233892940872738,0.3381171764887018,26.95422760528131,0.8958009569843348,0.48203358091591214,22.76119771312065
25,social media,Rating,10000,Comment count,100000,1,937,972,30,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
26,social media,Rating,10000,Comment count,1000000,0,937,972,30,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
27,social media,Rating,10000,Comment count,10000000,0,937,972,30,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
28,social media,Rating,100000,Comment count,0,503,937,972,26,0.850517452173554,0.42107924540951086,24.435501279521137,0.9018862189107005,0.5385822207548188,20.603250761525967
29,social media,Rating,100000,Comment count,100,328,937,972,26,0.8533005939535937,0.4286831875001991,24.106881425026568,0.9036615174986191,0.5460388161545141,20.170298122380796
30,social media,Rating,100000,Comment count,1000,160,937,972,26,0.8604627561774701,0.45484008721439395,23.517003425126887,0.9101452483276045,0.5795552615243805,19.451767930670254
31,social media,Rating,100000,Comment count,10000,33,937,972,26,0.8233892940872738,0.3381171764887018,26.95422760528131,0.8958009569843348,0.48203358091591214,22.76119771312065
32,social media,Rating,100000,Comment count,100000,1,937,972,26,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
33,social media,Rating,100000,Comment count,1000000,0,937,972,26,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
34,social media,Rating,100000,Comment count,10000000,0,937,972,26,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
35,social media,Rating,200000,Comment count,0,503,937,972,25,0.850517452173554,0.42107924540951086,24.435501279521137,0.9018862189107005,0.5385822207548188,20.603250761525967
36,social media,Rating,200000,Comment count,100,328,937,972,25,0.8533005939535937,0.4286831875001991,24.106881425026568,0.9036615174986191,0.5460388161545141,20.170298122380796
37,social media,Rating,200000,Comment count,1000,160,937,972,25,0.8604627561774701,0.45484008721439395,23.517003425126887,0.9101452483276045,0.5795552615243805,19.451767930670254
38,social media,Rating,200000,Comment count,10000,33,937,972,25,0.8233892940872738,0.3381171764887018,26.95422760528131,0.8958009569843348,0.48203358091591214,22.76119771312065
39,social media,Rating,200000,Comment count,100000,1,937,972,25,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
40,social media,Rating,200000,Comment count,1000000,0,937,972,25,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
41,social media,Rating,200000,Comment count,10000000,0,937,972,25,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
42,social media,Rating,300000,Comment count,0,503,937,972,24,0.850517452173554,0.42107924540951086,24.435501279521137,0.9018862189107005,0.5385822207548188,20.603250761525967
43,social media,Rating,300000,Comment count,100,328,937,972,24,0.8533005939535937,0.4286831875001991,24.106881425026568,0.9036615174986191,0.5460388161545141,20.170298122380796
44,social media,Rating,300000,Comment count,1000,160,937,972,24,0.8604627561774701,0.45484008721439395,23.517003425126887,0.9101452483276045,0.5795552615243805,19.451767930670254
45,social media,Rating,300000,Comment count,10000,33,937,972,24,0.8233892940872738,0.3381171764887018,26.95422760528131,0.8958009569843348,0.48203358091591214,22.76119771312065
46,social media,Rating,300000,Comment count,100000,1,937,972,24,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
47,social media,Rating,300000,Comment count,1000000,0,937,972,24,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
48,social media,Rating,300000,Comment count,10000000,0,937,972,24,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
49,social media,Rating,500000,Comment count,0,503,937,972,22,0.850517452173554,0.42107924540951086,24.435501279521137,0.9018862189107005,0.5385822207548188,20.603250761525967
50,social media,Rating,500000,Comment count,100,328,937,972,22,0.8533005939535937,0.4286831875001991,24.106881425026568,0.9036615174986191,0.5460388161545141,20.170298122380796
51,social media,Rating,500000,Comment count,1000,160,937,972,22,0.8604627561774701,0.45484008721439395,23.517003425126887,0.9101452483276045,0.5795552615243805,19.451767930670254
52,social media,Rating,500000,Comment count,10000,33,937,972,22,0.8233892940872738,0.3381171764887018,26.95422760528131,0.8958009569843348,0.48203358091591214,22.76119771312065
53,social media,Rating,500000,Comment count,100000,1,937,972,22,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
54,social media,Rating,500000,Comment count,1000000,0,937,972,22,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
55,social media,Rating,500000,Comment count,10000000,0,937,972,22,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
56,social media,Rating,750000,Comment count,0,503,937,972,19,0.850517452173554,0.42107924540951086,24.435501279521137,0.9018862189107005,0.5385822207548188,20.603250761525967
57,social media,Rating,750000,Comment count,100,328,937,972,19,0.8533005939535937,0.4286831875001991,24.106881425026568,0.9036615174986191,0.5460388161545141,20.170298122380796
58,social media,Rating,750000,Comment count,1000,160,937,972,19,0.8604627561774701,0.45484008721439395,23.517003425126887,0.9101452483276045,0.5795552615243805,19.451767930670254
59,social media,Rating,750000,Comment count,10000,33,937,972,19,0.8233892940872738,0.3381171764887018,26.95422760528131,0.8958009569843348,0.48203358091591214,22.76119771312065
60,social media,Rating,750000,Comment count,100000,1,937,972,19,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
61,social media,Rating,750000,Comment count,1000000,0,937,972,19,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
62,social media,Rating,750000,Comment count,10000000,0,937,972,19,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
63,social media,Rating,1000000,Comment count,0,503,937,972,18,0.850517452173554,0.42107924540951086,24.435501279521137,0.9018862189107005,0.5385822207548188,20.603250761525967
64,social media,Rating,1000000,Comment count,100,328,937,972,18,0.8533005939535937,0.4286831875001991,24.106881425026568,0.9036615174986191,0.5460388161545141,20.170298122380796
65,social media,Rating,1000000,Comment count,1000,160,937,972,18,0.8604627561774701,0.45484008721439395,23.517003425126887,0.9101452483276045,0.5795552615243805,19.451767930670254
66,social media,Rating,1000000,Comment count,10000,33,937,972,18,0.8233892940872738,0.3381171764887018,26.95422760528131,0.8958009569843348,0.48203358091591214,22.76119771312065
67,social media,Rating,1000000,Comment count,100000,1,937,972,18,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
68,social media,Rating,1000000,Comment count,1000000,0,937,972,18,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
69,social media,Rating,1000000,Comment count,10000000,0,937,972,18,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
70,social media,Rating,10000000,Comment count,0,503,937,972,8,0.850517452173554,0.42107924540951086,24.435501279521137,0.9018862189107005,0.5385822207548188,20.603250761525967
71,social media,Rating,10000000,Comment count,100,328,937,972,8,0.8533005939535937,0.4286831875001991,24.106881425026568,0.9036615174986191,0.5460388161545141,20.170298122380796
72,social media,Rating,10000000,Comment count,1000,160,937,972,8,0.8604627561774701,0.45484008721439395,23.517003425126887,0.9101452483276045,0.5795552615243805,19.451767930670254
73,social media,Rating,10000000,Comment count,10000,33,937,972,8,0.8233892940872738,0.3381171764887018,26.95422760528131,0.8958009569843348,0.48203358091591214,22.76119771312065
74,social media,Rating,10000000,Comment count,100000,1,937,972,8,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
75,social media,Rating,10000000,Comment count,1000000,0,937,972,8,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
76,social media,Rating,10000000,Comment count,10000000,0,937,972,8,0.838664957111477,0.3893858726543509,25.519486716757182,0.8939467279525455,0.5029377344404854,22.12301348301973
