,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,social media,Text length,0,Duration,0,503,937,972,209,0.8517118301449953,0.4228115359057708,24.336839610118467,0.90276330275344,0.5408921782330096,20.552371423360498
1,social media,Text length,0,Duration,25,74,937,972,209,0.8436658610496053,0.4251823357932239,27.50536915162008,0.8982847079453308,0.5522455620833407,25.79689049909517
2,social media,Text length,0,Duration,50,28,937,972,209,0.8306676778343229,0.4071631899474362,27.588312648172966,0.8964444711629644,0.5566449482567445,25.37972359275241
3,social media,Text length,0,Duration,75,11,937,972,209,0.804853761055524,0.3557722031294419,31.473859470090858,0.8861708068860866,0.5106071118515029,29.39864069309054
4,social media,Text length,0,Duration,100,8,937,972,209,0.8070431021966522,0.37303290640773573,31.67392193397525,0.8859571104242456,0.5209410611026406,29.95394657187198
5,social media,Text length,0,Duration,125,5,937,972,209,0.8234461159827278,0.3887643993316975,30.179371864710983,0.8915977132580425,0.5241122571767562,28.171430200870578
6,social media,Text length,0,Duration,150,4,937,972,209,0.8238157234152633,0.38159354943091817,30.372007636510958,0.8922308754397607,0.5165406856132891,28.48059614086516
7,social media,Text length,100,Duration,0,503,936,972,209,0.8515000200404462,0.42132992840258127,24.371122894209883,0.9027256107715492,0.5394391205486724,20.564341272947868
8,social media,Text length,100,Duration,25,74,936,972,209,0.8434072958562734,0.42372095963649287,27.531072067480785,0.8981910851803441,0.5507663878262694,25.822842957828314
9,social media,Text length,100,Duration,50,28,936,972,209,0.8303710924496401,0.4057484541243547,27.613161545444548,0.8963096659305689,0.555153413091602,25.404813741453808
10,social media,Text length,100,Duration,75,11,936,972,209,0.8045304225841061,0.3543858491597407,31.49501202390539,0.8860303220124918,0.5090679338396821,29.419998611505214
11,social media,Text length,100,Duration,100,8,936,972,209,0.8067295424089828,0.3716498560614615,31.695074487789782,0.8858340323545235,0.5194347879207222,29.975304490286653
12,social media,Text length,100,Duration,125,5,936,972,209,0.8231739448943329,0.3873166356095133,30.20292518706264,0.8915241527977237,0.5226163048624083,28.195212196254776
13,social media,Text length,100,Duration,150,4,936,972,209,0.8235522685100124,0.38012491985922603,30.395560958862614,0.8921744117461821,0.5150351496029937,28.504378136249358
14,social media,Text length,1000,Duration,0,503,885,972,209,0.8536157582154615,0.4265786705193786,24.1829530933108,0.9038587815135893,0.5417006342835876,21.037552335776798
15,social media,Text length,1000,Duration,25,74,885,972,209,0.845205477986589,0.4289714120335708,25.74240873099867,0.8992010838352138,0.5537500700343214,23.580864396898814
16,social media,Text length,1000,Duration,50,28,885,972,209,0.8287028284860803,0.40604098455146165,28.379626476774803,0.8959150636073808,0.555380451612266,26.461091088731767
17,social media,Text length,1000,Duration,75,11,885,972,209,0.8006620055040095,0.35167504185264864,31.829651204906313,0.883722511116814,0.50445802735587,29.57718111021819
18,social media,Text length,1000,Duration,100,8,885,972,209,0.8036833483560938,0.37042753131114714,31.998237612136574,0.8843902091473873,0.5170241115935775,30.13303112215127
19,social media,Text length,1000,Duration,125,5,885,972,209,0.8217853384821828,0.38779680881616024,30.680880526161012,0.8911089341678783,0.5217974325399326,28.72095872870631
20,social media,Text length,1000,Duration,150,4,885,972,209,0.8228284533041837,0.38109211399374865,30.86069945017813,0.8921465603887183,0.5145505778273637,29.038762737926124
21,social media,Text length,2000,Duration,0,503,763,972,209,0.8414472892956184,0.4150156367087076,25.67684811085478,0.9009633037500219,0.5410684162397871,22.437042998851012
22,social media,Text length,2000,Duration,25,74,763,972,209,0.8301647198230865,0.4149025439828664,27.67636473055958,0.8950080754387907,0.5517717306772913,25.2452829414492
23,social media,Text length,2000,Duration,50,28,763,972,209,0.8121288477817491,0.3916055650017244,29.365748359668633,0.8905543264099299,0.5513314518556046,27.10084345251299
