,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,social media,Track time,0,Duration,0,503,937,972,209,0.8517118301449953,0.4228115359057708,24.336839610118467,0.90276330275344,0.5408921782330096,20.552371423360498
1,social media,Track time,0,Duration,25,74,937,972,209,0.8436658610496053,0.4251823357932239,27.50536915162008,0.8982847079453308,0.5522455620833407,25.79689049909517
2,social media,Track time,0,Duration,50,28,937,972,209,0.8306676778343229,0.4071631899474362,27.588312648172966,0.8964444711629644,0.5566449482567445,25.37972359275241
3,social media,Track time,0,Duration,75,11,937,972,209,0.804853761055524,0.3557722031294419,31.473859470090858,0.8861708068860866,0.5106071118515029,29.39864069309054
4,social media,Track time,0,Duration,100,8,937,972,209,0.8070431021966522,0.37303290640773573,31.67392193397525,0.8859571104242456,0.5209410611026406,29.95394657187198
5,social media,Track time,0,Duration,125,5,937,972,209,0.8234461159827278,0.3887643993316975,30.179371864710983,0.8915977132580425,0.5241122571767562,28.171430200870578
6,social media,Track time,0,Duration,150,4,937,972,209,0.8238157234152633,0.38159354943091817,30.372007636510958,0.8922308754397607,0.5165406856132891,28.48059614086516
7,social media,Track time,5,Duration,0,503,937,952,209,0.850935804539212,0.42305578830367896,24.412628011545472,0.9022573422923869,0.541700494651957,20.637483119521356
8,social media,Track time,5,Duration,25,74,937,952,209,0.8428494654582185,0.4253337454358198,27.609530454701687,0.8976998044106709,0.5528025568159373,25.915520153688504
9,social media,Track time,5,Duration,50,28,937,952,209,0.8299873154277146,0.40750441905844564,27.6327084651945,0.8960293648359057,0.557489487561139,25.434995954689477
10,social media,Track time,5,Duration,75,11,937,952,209,0.8041116224598368,0.3561866002036711,31.504809526819994,0.88546889127262,0.5110351218592523,29.4272134593618
