,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,social media,Track time,0,Text length,0,503,937,972,209,0.8517118301449953,0.4228115359057708,24.336839610118467,0.90276330275344,0.5408921782330096,20.552371423360498
1,social media,Track time,0,Text length,100,503,936,972,209,0.8515000200404462,0.42132992840258127,24.371122894209883,0.9027256107715492,0.5394391205486724,20.564341272947868
2,social media,Track time,0,Text length,1000,503,885,972,209,0.8536157582154615,0.4265786705193786,24.1829530933108,0.9038587815135893,0.5417006342835876,21.037552335776798
3,social media,Track time,0,Text length,2000,503,763,972,209,0.8414472892956184,0.4150156367087076,25.67684811085478,0.9009633037500219,0.5410684162397871,22.437042998851012
4,social media,Track time,0,Text length,3000,503,611,972,209,0.8531153105639677,0.4322551802940634,24.141975379291406,0.9022641544723566,0.5445360353792055,21.212022859156324
5,social media,Track time,0,Text length,5000,503,328,972,209,0.8272364927782433,0.4058781012165112,29.61166439415389,0.8927664662195719,0.550975019862572,27.47809916026198
6,social media,Track time,0,Text length,7500,503,154,972,209,0.7677939606887648,0.34543303489005345,32.47074438710097,0.8693034668646821,0.5243352904417877,29.848091986173635
7,social media,Track time,0,Text length,10000,503,79,972,209,0.7118107128993652,0.3187458504723792,35.68530417414911,0.8478027115690467,0.5243224408453403,33.357885661436036
8,social media,Track time,5,Text length,0,503,937,952,209,0.850935804539212,0.42305578830367896,24.412628011545472,0.9022573422923869,0.541700494651957,20.637483119521356
9,social media,Track time,5,Text length,100,503,936,952,209,0.8507237961178163,0.4215806897277343,24.44678258841772,0.9022195767722131,0.5402544397418304,20.651068103769454
10,social media,Track time,5,Text length,1000,503,885,952,209,0.8528288325522767,0.4268648571706832,24.24818771281257,0.9033271276523877,0.5425487424856661,21.077383081438384
11,social media,Track time,5,Text length,2000,503,763,952,209,0.8406612681988702,0.41545162141013975,25.734957066214157,0.9004795639567845,0.5421845761608167,22.469534397882533
12,social media,Track time,5,Text length,3000,503,611,952,209,0.8523825331335086,0.43261023487609107,24.219369527768595,0.9019305713455423,0.5458364166600422,21.23718086191316
13,social media,Track time,5,Text length,5000,503,328,952,209,0.826251273406371,0.4061500686157311,29.684336343519682,0.8924475537128178,0.5525015285519216,27.552953122835245
14,social media,Track time,5,Text length,7500,503,154,952,209,0.7676741025801694,0.34710632103922306,32.456189717693874,0.8693406445330613,0.5271214667805995,29.865712711403262
15,social media,Track time,5,Text length,10000,503,79,952,209,0.7117080356199935,0.3203496889532943,35.52882568828103,0.8480852495898535,0.5275216050894106,33.05463234694282
16,social media,Track time,10,Text length,0,503,937,892,209,0.8522950453937783,0.42314036916926345,24.329238226226828,0.902995260820261,0.541837093855189,20.704805672584662
17,social media,Track time,10,Text length,100,503,936,892,209,0.8520874731054126,0.4216712890061296,24.362820354802615,0.902958246977896,0.540398417012064,20.725574256098486
18,social media,Track time,10,Text length,1000,503,885,892,209,0.8539727722107336,0.4265407843775311,24.15238536490434,0.9039084892432099,0.5422666026071543,20.944029836356766
19,social media,Track time,10,Text length,2000,503,763,892,209,0.8420414049046835,0.4151880618103898,25.595772997425332,0.9010514073557981,0.5416870976930317,22.35505761542502
20,social media,Track time,10,Text length,3000,503,611,892,209,0.8533545636629494,0.43198561897183807,24.176008999626788,0.9023557132089111,0.5451330080152268,21.125535788591275
21,social media,Track time,10,Text length,5000,503,328,892,209,0.8265518669307012,0.4042250366926056,29.82035452338163,0.8923987910291558,0.5503233811760377,27.701882772925323
22,social media,Track time,10,Text length,7500,503,154,892,209,0.7702233166227742,0.34682989497921507,32.29129339082572,0.8703299418282693,0.5261065459815831,29.67961798365047
23,social media,Track time,10,Text length,10000,503,79,892,209,0.7147774034730465,0.3199587637044134,35.24481721747699,0.8491897569407021,0.5259670654535357,32.6228412274442
24,social media,Track time,25,Text length,0,503,937,654,209,0.8449141051153202,0.3979709337462061,25.267151076630853,0.8976680236292309,0.514385024201953,22.22464081617539
25,social media,Track time,25,Text length,100,503,936,654,209,0.8447382243492273,0.3964918271427323,25.29985532467628,0.8976541922204228,0.5129022036011182,22.256425839029294
26,social media,Track time,25,Text length,1000,503,885,654,209,0.8465383282293928,0.4003856850578234,24.763814410012063,0.8984200793553339,0.5133856134073953,21.865254818712796
27,social media,Track time,25,Text length,2000,503,763,654,209,0.8341254162276655,0.38874936038524693,26.214319511147355,0.8957945220009508,0.5127818296335739,23.204098284206655
28,social media,Track time,25,Text length,3000,503,611,654,209,0.8472216347019583,0.40800653264516024,24.646540016187164,0.897706741145578,0.5186177923065256,21.917177768319988
29,social media,Track time,25,Text length,5000,503,328,654,209,0.8156887881376634,0.37545946950601256,30.28975046944222,0.8857278052415355,0.5206358564632084,28.05609663314014
30,social media,Track time,25,Text length,7500,503,154,654,209,0.7542902003007823,0.31452373336869455,33.20514123327771,0.8613248782418175,0.4916850159128263,30.75423037005969
31,social media,Track time,25,Text length,10000,503,79,654,209,0.6939380282190444,0.2886693747056514,36.16597042397041,0.8379948267119807,0.4921239513942333,33.70274919147262
32,social media,Track time,50,Text length,0,503,937,225,209,0.8303071348716664,0.3813597485625681,26.188961198592974,0.8877432389812598,0.49261315945903655,22.978407747810326
33,social media,Track time,50,Text length,100,503,936,225,209,0.8301400279652829,0.3798652163977409,26.223716190584636,0.887767829011897,0.4911169279508535,22.99010522084312
34,social media,Track time,50,Text length,1000,503,885,225,209,0.8313232136141676,0.3829601083181349,26.589769800163218,0.8882571217545882,0.49075256630524694,24.02058897003642
35,social media,Track time,50,Text length,2000,503,763,225,209,0.8160737173474409,0.3699656949567333,28.24150159650842,0.8855456081166122,0.4907254855504832,25.543498120473803
36,social media,Track time,50,Text length,3000,503,611,225,209,0.8317273225695007,0.3904460943140741,26.52775186423366,0.8882164702076112,0.49790891966788964,24.154732934434087
37,social media,Track time,50,Text length,5000,503,328,225,209,0.7972647166815477,0.35908116599124584,32.6962415393958,0.8749386067047105,0.5013829391656215,30.826869487615397
38,social media,Track time,50,Text length,7500,503,154,225,209,0.7206119692192686,0.2922767881882195,35.03730301685406,0.8394132603940617,0.46083549313787897,32.58174678654745
39,social media,Track time,50,Text length,10000,503,79,225,209,0.6535560159326509,0.26830486596043307,38.13545659204754,0.8122505995817649,0.46410490072998467,35.92130615282385
40,social media,Track time,100,Text length,0,503,937,26,209,0.8191765784387881,0.36148357832605366,27.285464264332578,0.8808521814776449,0.4759567875171939,24.0928718240668
41,social media,Track time,100,Text length,100,503,936,26,209,0.8189336529686373,0.35988110934764134,27.320028321827774,0.8808503805392022,0.47435662629638276,24.127771454935736
42,social media,Track time,100,Text length,1000,503,885,26,209,0.8183167884197026,0.36041633355819513,27.54678708441038,0.881092060586892,0.47322105588741475,24.596931407352056
43,social media,Track time,100,Text length,2000,503,763,26,209,0.803533034720344,0.3490641920074377,28.95463843793404,0.8772560041395013,0.4713371200873549,25.845030491957388
44,social media,Track time,100,Text length,3000,503,611,26,209,0.8206577453613076,0.3702636367458482,27.331433249158547,0.8814952465825437,0.48143714542512306,24.610966367426535
45,social media,Track time,100,Text length,5000,503,328,26,209,0.782363550026224,0.3373334395472596,31.640830766706845,0.8659341832937366,0.48296941534528204,29.057686883687687
46,social media,Track time,100,Text length,7500,503,154,26,209,0.6893398028053815,0.2624295164941103,36.22808882175363,0.8220572070381129,0.43454687751627985,33.74490736944461
47,social media,Track time,100,Text length,10000,503,79,26,209,0.615924606904062,0.23941017914595314,38.53717380591,0.7846339203220917,0.4301719369894315,35.881824803058144
48,social media,Track time,150,Text length,0,503,937,8,209,0.7672339369942379,0.3219682788994534,34.03184846888426,0.8637890726950497,0.4610261279197029,31.637189432713463
49,social media,Track time,150,Text length,100,503,936,8,209,0.7668730821487248,0.32054482551241203,34.053662091622094,0.8636853701750232,0.45941762713208145,31.659214838196316
50,social media,Track time,150,Text length,1000,503,885,8,209,0.761874496019514,0.3178173990941751,34.45039183988175,0.8626464544837973,0.457108251229829,31.893207028281218
51,social media,Track time,150,Text length,2000,503,763,8,209,0.743412158656197,0.3072864255168818,35.99197877496613,0.8558948904211077,0.45222861349598814,33.783781928061124
52,social media,Track time,150,Text length,3000,503,611,8,209,0.7671804726590621,0.328644553515195,33.98179831530887,0.8635365328034736,0.4654108322273402,30.949475103524687
53,social media,Track time,150,Text length,5000,503,328,8,209,0.71522362487166,0.2937019639129052,37.170989103799855,0.8396321549331666,0.4565792140431511,34.526828104995836
54,social media,Track time,150,Text length,7500,503,154,8,209,0.6272870536688929,0.23948194678070805,40.06927561599379,0.7935296162222468,0.41638847018066505,37.58421280746244
55,social media,Track time,150,Text length,10000,503,79,8,209,0.5667150618759699,0.224806460072814,41.43646077709145,0.7564487257626926,0.4127645627872561,38.95600986080206
56,social media,Track time,200,Text length,0,503,937,1,209,0.8211469880836669,0.35298949229264953,26.88532280423434,0.8835559354097647,0.467463881176576,23.7620458750924
57,social media,Track time,200,Text length,100,503,936,1,209,0.8209565290806424,0.3513347633113923,26.921791410414485,0.8836440879107613,0.4658885248604431,23.774320098531664
58,social media,Track time,200,Text length,1000,503,885,1,209,0.8216817222556144,0.3528441742434705,27.543498409665773,0.8836068973282131,0.4632251776315962,25.050167822461564
59,social media,Track time,200,Text length,2000,503,763,1,209,0.8026917466648797,0.3364358474164107,29.60859170845665,0.8792779385392734,0.4594506021500368,26.878646052076846
60,social media,Track time,200,Text length,3000,503,611,1,209,0.8228536059109269,0.3618201499594454,27.657764291399427,0.8835504643430641,0.47112326766547696,25.3686127456285
61,social media,Track time,200,Text length,5000,503,328,1,209,0.7870738098479061,0.3307916208247161,31.524544221537948,0.8733700669299684,0.482473088705852,29.1827278587822
62,social media,Track time,200,Text length,7500,503,154,1,209,0.6794055251578648,0.24308468213917248,37.425622848666016,0.8213707989336076,0.41797201377850474,35.31486947072958
63,social media,Track time,200,Text length,10000,503,79,1,209,0.5965526611681842,0.21886878349925615,39.918323550528406,0.7853030805219937,0.41963918662675476,37.388619687489665
