,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Filter 3,Threshold 3,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,social media,Track time,0,Text length,0,Duration,0,503,937,972,209,0.8517118301449953,0.4228115359057708,24.336839610118467,0.90276330275344,0.5408921782330096,20.552371423360498
1,social media,Track time,0,Text length,0,Duration,5,323,937,972,209,0.8552692388523272,0.4275022743023522,24.066200000651072,0.9051265459909567,0.5469605431345858,20.59853982991987
2,social media,Track time,0,Text length,0,Duration,10,221,937,972,209,0.857375753735872,0.44291502357479917,24.361431783917727,0.9052601891463636,0.5629499794430999,21.513832055929647
3,social media,Track time,0,Text length,0,Duration,15,131,937,972,209,0.8517793858477366,0.4457344168644894,25.582561570233118,0.9043414465506037,0.5806152389967203,23.356379791681327
4,social media,Track time,0,Text length,0,Duration,20,95,937,972,209,0.8463276399987106,0.4384547281925541,26.87712187057334,0.9003882040126322,0.5684377787688012,25.10806899021969
5,social media,Track time,0,Text length,0,Duration,25,74,937,972,209,0.8436658610496053,0.4251823357932239,27.50536915162008,0.8982847079453308,0.5522455620833407,25.79689049909517
6,social media,Track time,0,Text length,0,Duration,30,58,937,972,209,0.8426346907278706,0.42142659599049254,26.43509373034325,0.8985925755985695,0.5490168169505246,24.37627267503996
7,social media,Track time,0,Text length,0,Duration,40,40,937,972,209,0.8441770200636287,0.4167303030160003,24.87377430414386,0.8983581231036979,0.5400912034508146,21.459341145622503
8,social media,Track time,0,Text length,0,Duration,50,28,937,972,209,0.8306676778343229,0.4071631899474362,27.588312648172966,0.8964444711629644,0.5566449482567445,25.37972359275241
9,social media,Track time,0,Text length,0,Duration,75,11,937,972,209,0.804853761055524,0.3557722031294419,31.473859470090858,0.8861708068860866,0.5106071118515029,29.39864069309054
10,social media,Track time,0,Text length,0,Duration,100,8,937,972,209,0.8070431021966522,0.37303290640773573,31.67392193397525,0.8859571104242456,0.5209410611026406,29.95394657187198
11,social media,Track time,0,Text length,0,Duration,125,5,937,972,209,0.8234461159827278,0.3887643993316975,30.179371864710983,0.8915977132580425,0.5241122571767562,28.171430200870578
12,social media,Track time,0,Text length,0,Duration,150,4,937,972,209,0.8238157234152633,0.38159354943091817,30.372007636510958,0.8922308754397607,0.5165406856132891,28.48059614086516
13,social media,Track time,0,Text length,100,Duration,0,503,936,972,209,0.8515000200404462,0.42132992840258127,24.371122894209883,0.9027256107715492,0.5394391205486724,20.564341272947868
14,social media,Track time,0,Text length,100,Duration,5,323,936,972,209,0.855067796034559,0.4260508657446354,24.09920062686242,0.9050774587350174,0.5455142922541648,20.631860850560447
15,social media,Track time,0,Text length,100,Duration,10,221,936,972,209,0.8571929120067777,0.441537467339416,24.3918295051902,0.9051906861544738,0.5615303983872515,21.544524900709618
16,social media,Track time,0,Text length,100,Duration,15,131,936,972,209,0.8515039679846811,0.4442879306129212,25.609296772110714,0.9042082250598948,0.5791306791219494,23.383374558625697
17,social media,Track time,0,Text length,100,Duration,20,95,936,972,209,0.8460585417557058,0.43701284673082613,26.902824786434046,0.9002731571734387,0.5669658342672463,25.134021448952833
18,social media,Track time,0,Text length,100,Duration,25,74,936,972,209,0.8434072958562734,0.42372095963649287,27.531072067480785,0.8981910851803441,0.5507663878262694,25.822842957828314
19,social media,Track time,0,Text length,100,Duration,30,58,936,972,209,0.8423869059404403,0.4199564771193291,26.4632420560869,0.8985218081182619,0.5475487027648902,24.404694285499573
20,social media,Track time,0,Text length,100,Duration,40,40,936,972,209,0.84393713532465,0.41524182551662425,24.90699049048398,0.8982959545598894,0.5386096032335642,21.492879819208643
21,social media,Track time,0,Text length,100,Duration,50,28,936,972,209,0.8303710924496401,0.4057484541243547,27.613161545444548,0.8963096659305689,0.555153413091602,25.404813741453808
22,social media,Track time,0,Text length,100,Duration,75,11,936,972,209,0.8045304225841061,0.3543858491597407,31.49501202390539,0.8860303220124918,0.5090679338396821,29.419998611505214
23,social media,Track time,0,Text length,100,Duration,100,8,936,972,209,0.8067295424089828,0.3716498560614615,31.695074487789782,0.8858340323545235,0.5194347879207222,29.975304490286653
24,social media,Track time,0,Text length,100,Duration,125,5,936,972,209,0.8231739448943329,0.3873166356095133,30.20292518706264,0.8915241527977237,0.5226163048624083,28.195212196254776
25,social media,Track time,0,Text length,100,Duration,150,4,936,972,209,0.8235522685100124,0.38012491985922603,30.395560958862614,0.8921744117461821,0.5150351496029937,28.504378136249358
26,social media,Track time,0,Text length,1000,Duration,0,503,885,972,209,0.8536157582154615,0.4265786705193786,24.1829530933108,0.9038587815135893,0.5417006342835876,21.037552335776798
27,social media,Track time,0,Text length,1000,Duration,5,323,885,972,209,0.8573520952772204,0.4315645440011123,23.860197540152505,0.9060540186960646,0.5475052093549475,20.685987788095524
28,social media,Track time,0,Text length,1000,Duration,10,221,885,972,209,0.8592835796469763,0.4473530187738244,23.58811606521826,0.9058167034358977,0.5634718539674852,20.252481717181546
29,social media,Track time,0,Text length,1000,Duration,15,131,885,972,209,0.8528589829753676,0.4492833491792105,24.198072282586566,0.904500104616391,0.5811764159873729,21.371087140540418
30,social media,Track time,0,Text length,1000,Duration,20,95,885,972,209,0.847685942341984,0.4424458049485306,25.151223747555917,0.900996164332316,0.5698705540392096,22.77596015777702
31,social media,Track time,0,Text length,1000,Duration,25,74,885,972,209,0.845205477986589,0.4289714120335708,25.74240873099867,0.8992010838352138,0.5537500700343214,23.580864396898814
32,social media,Track time,0,Text length,1000,Duration,30,58,885,972,209,0.8440427660586677,0.4249247439212728,24.919916958260337,0.8996063014823331,0.5505205691373586,21.953289426147236
33,social media,Track time,0,Text length,1000,Duration,40,40,885,972,209,0.8449935146979234,0.4190501034572245,24.979172133222566,0.8992811573041783,0.5409178519107561,22.262011075347534
34,social media,Track time,0,Text length,1000,Duration,50,28,885,972,209,0.8287028284860803,0.40604098455146165,28.379626476774803,0.8959150636073808,0.555380451612266,26.461091088731767
35,social media,Track time,0,Text length,1000,Duration,75,11,885,972,209,0.8006620055040095,0.35167504185264864,31.829651204906313,0.883722511116814,0.50445802735587,29.57718111021819
36,social media,Track time,0,Text length,1000,Duration,100,8,885,972,209,0.8036833483560938,0.37042753131114714,31.998237612136574,0.8843902091473873,0.5170241115935775,30.13303112215127
37,social media,Track time,0,Text length,1000,Duration,125,5,885,972,209,0.8217853384821828,0.38779680881616024,30.680880526161012,0.8911089341678783,0.5217974325399326,28.72095872870631
38,social media,Track time,0,Text length,1000,Duration,150,4,885,972,209,0.8228284533041837,0.38109211399374865,30.86069945017813,0.8921465603887183,0.5145505778273637,29.038762737926124
39,social media,Track time,0,Text length,2000,Duration,0,503,763,972,209,0.8414472892956184,0.4150156367087076,25.67684811085478,0.9009633037500219,0.5410684162397871,22.437042998851012
40,social media,Track time,0,Text length,2000,Duration,5,323,763,972,209,0.8458504948623582,0.4203253430237052,25.104752663916596,0.903419745982768,0.5472101357659002,21.998309139862062
41,social media,Track time,0,Text length,2000,Duration,10,221,763,972,209,0.8472935408356709,0.4355566135988946,24.65605450949094,0.9027812618724308,0.5630857282140039,21.176876043661462
42,social media,Track time,0,Text length,2000,Duration,15,131,763,972,209,0.8398654382444124,0.4370403329254396,25.594753310257758,0.9003760194895963,0.5793411373983482,22.486468253554285
43,social media,Track time,0,Text length,2000,Duration,20,95,763,972,209,0.8339608698328753,0.4300307041921916,26.85644800610169,0.8972101633275624,0.5691373311105722,24.446083767245856
44,social media,Track time,0,Text length,2000,Duration,25,74,763,972,209,0.8301647198230865,0.4149025439828664,27.67636473055958,0.8950080754387907,0.5517717306772913,25.2452829414492
45,social media,Track time,0,Text length,2000,Duration,30,58,763,972,209,0.8292302060389785,0.4113699854192858,26.808370603743164,0.8959717729861663,0.5496606308538294,23.64555385727443
46,social media,Track time,0,Text length,2000,Duration,40,40,763,972,209,0.8309118400053861,0.4061203070480836,26.11753641215753,0.8956312886853413,0.5395530081725277,22.553643243322608
47,social media,Track time,0,Text length,2000,Duration,50,28,763,972,209,0.8121288477817491,0.3916055650017244,29.365748359668633,0.8905543264099299,0.5513314518556046,27.10084345251299
48,social media,Track time,0,Text length,2000,Duration,75,11,763,972,209,0.7810844658206275,0.33631558198988537,33.530611882871646,0.8755148795219799,0.49480466913497084,31.51671565828048
49,social media,Track time,0,Text length,2000,Duration,100,8,763,972,209,0.7847737932194585,0.3559784948033219,33.71431094594492,0.877447081115544,0.5103969756090672,32.07589102033184
50,social media,Track time,0,Text length,2000,Duration,125,5,763,972,209,0.8056596715887495,0.3747836601209192,32.07960455192974,0.8850636151172598,0.5160536617996141,30.18499333628702
51,social media,Track time,0,Text length,2000,Duration,150,4,763,972,209,0.8058239897690688,0.36678476787478703,32.30139113040837,0.8861558376414388,0.5083488220107557,30.504597750446102
52,social media,Track time,0,Text length,3000,Duration,0,503,611,972,209,0.8531153105639677,0.4322551802940634,24.141975379291406,0.9022641544723566,0.5445360353792055,21.212022859156324
53,social media,Track time,0,Text length,3000,Duration,5,323,611,972,209,0.8571462500979783,0.4375424457307324,23.72957523713472,0.9045150999582837,0.5502186496315407,20.84936289880976
54,social media,Track time,0,Text length,3000,Duration,10,221,611,972,209,0.8578797300375787,0.4512335999660952,23.311666766956826,0.9035399079416104,0.5642082778788559,20.10858475580722
55,social media,Track time,0,Text length,3000,Duration,15,131,611,972,209,0.8516692785195475,0.4533034459149536,23.83772109205025,0.9004075686429126,0.5774932504736908,20.711939382859583
56,social media,Track time,0,Text length,3000,Duration,20,95,611,972,209,0.8483535330772467,0.44944166653893514,24.756962843011536,0.898245104578996,0.5696585719651504,22.29402087705956
57,social media,Track time,0,Text length,3000,Duration,25,74,611,972,209,0.8455973443373318,0.43570521349151364,25.43034946492663,0.8970296038266448,0.555150998530897,23.08873208947051
58,social media,Track time,0,Text length,3000,Duration,30,58,611,972,209,0.8461095905881104,0.43423049625304694,24.534623380251617,0.8988163186364427,0.5551532323501036,21.504111586820617
59,social media,Track time,0,Text length,3000,Duration,40,40,611,972,209,0.8463604444530908,0.4274083508744735,24.85571702184157,0.8986859755859556,0.5460822719343019,22.29251549285108
60,social media,Track time,0,Text length,3000,Duration,50,28,611,972,209,0.8303231236409242,0.4139184265000201,29.21017317883776,0.8944195614838162,0.5580392955797739,27.362580170507904
61,social media,Track time,0,Text length,3000,Duration,75,11,611,972,209,0.806202334534137,0.3633251549844424,30.642987686420355,0.8821541893802111,0.5074196186807173,27.734189145049527
62,social media,Track time,0,Text length,3000,Duration,100,8,611,972,209,0.8098390832580337,0.3832137259674061,30.724319151581078,0.8831564290049623,0.5207124051221854,28.230197138842605
63,social media,Track time,0,Text length,3000,Duration,125,5,611,972,209,0.821528502227417,0.39360904395559315,30.792963833114552,0.8874434518046981,0.5207420542537542,28.64811884954276
64,social media,Track time,0,Text length,3000,Duration,150,4,611,972,209,0.8231601136817904,0.38775483096554014,30.948362638054515,0.8895783332904756,0.515847600355457,28.970348511410855
65,social media,Track time,0,Text length,5000,Duration,0,503,328,972,209,0.8272364927782433,0.4058781012165112,29.61166439415389,0.8927664662195719,0.550975019862572,27.47809916026198
66,social media,Track time,0,Text length,5000,Duration,5,323,328,972,209,0.8327172965240313,0.41184377884649315,28.57020860182199,0.8962449003600803,0.5581605147210856,26.39542826480426
67,social media,Track time,0,Text length,5000,Duration,10,221,328,972,209,0.8327551492002917,0.42489293708305553,28.598599245630652,0.8946509435437102,0.5713131404784056,26.630012345883014
68,social media,Track time,0,Text length,5000,Duration,15,131,328,972,209,0.8271113832332125,0.42937075273389197,28.16647272195623,0.890486057987124,0.58336479324636,25.960021763138066
69,social media,Track time,0,Text length,5000,Duration,20,95,328,972,209,0.82391376363087,0.42677002093643046,29.104049945118124,0.8872828904437272,0.5744614159093374,27.122228197032168
70,social media,Track time,0,Text length,5000,Duration,25,74,328,972,209,0.8194842074875168,0.41119064792068927,28.370607249641736,0.8855913635103351,0.5592506585334167,25.97282177914392
71,social media,Track time,0,Text length,5000,Duration,30,58,328,972,209,0.8192284863737737,0.40878894328316945,28.581790440086326,0.8886610324693558,0.5620760719831968,26.401565566278162
72,social media,Track time,0,Text length,5000,Duration,40,40,328,972,209,0.8182768215996669,0.4000850457649686,28.909495689234898,0.8882814915372959,0.5521209387315752,26.65088396291052
73,social media,Track time,0,Text length,5000,Duration,50,28,328,972,209,0.7997638646255256,0.3864907631201236,31.117567994939908,0.8810978753960433,0.5580219703944872,28.60209712473568
74,social media,Track time,0,Text length,5000,Duration,75,11,328,972,209,0.7750092933426198,0.33856657237152527,33.324701140814966,0.8691304937153077,0.5088126965590519,30.59735534976185
75,social media,Track time,0,Text length,5000,Duration,100,8,328,972,209,0.7780448511526058,0.35817605404376873,33.49482671416635,0.8701105407135477,0.5233366645730533,31.16163168060301
76,social media,Track time,0,Text length,5000,Duration,125,5,328,972,209,0.7934946338850547,0.37092515245886076,33.60728906415153,0.8754862478185808,0.525408679575864,31.62515098929661
77,social media,Track time,0,Text length,5000,Duration,150,4,328,972,209,0.7952607349046922,0.3646580999937226,33.80702212678782,0.8821062387819943,0.5286324021545414,31.934065375880902
78,social media,Track time,0,Text length,7500,Duration,0,503,154,972,209,0.7677939606887648,0.34543303489005345,32.47074438710097,0.8693034668646821,0.5243352904417877,29.848091986173635
79,social media,Track time,0,Text length,7500,Duration,5,323,154,972,209,0.7775025022294649,0.3533160789285199,31.947586314609758,0.8743034119279295,0.5323356326275596,29.513386546792123
80,social media,Track time,0,Text length,7500,Duration,10,221,154,972,209,0.7802072122562305,0.3708454531075344,32.0221621471684,0.8719198740267393,0.5474437801299783,29.615888750999673
