,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,vpn,Duration,0,Text length,0,502,1985,1000,229,0.822555055145801,0.45888354532390696,29.435898261459617,0.857188566450529,0.5374773917298153,28.72553929181584
1,vpn,Duration,0,Text length,100,502,1977,1000,229,0.8228447551454371,0.45972810505819284,29.336899053453287,0.8575344528573355,0.5387043575410593,28.62557892645022
2,vpn,Duration,0,Text length,1000,502,1862,1000,229,0.8220569318752718,0.4574495285642053,28.037534448370135,0.8564482709557096,0.5344982540622972,27.330259191920717
3,vpn,Duration,0,Text length,2000,502,1625,1000,229,0.8206700716629903,0.4521935302311622,28.91417588384654,0.8563897397302727,0.5333857675370228,28.20006000908526
4,vpn,Duration,0,Text length,3000,502,1279,1000,229,0.8182229140671251,0.45216622156151476,27.082104830549262,0.8609131008138868,0.5516452851606685,26.251250485657476
5,vpn,Duration,0,Text length,5000,502,747,1000,229,0.8171709958084996,0.44962358097745503,26.0884157727374,0.8605326463460021,0.5500703257629735,25.255720246407424
6,vpn,Duration,0,Text length,7500,502,330,1000,229,0.8052885766777989,0.4268752443302571,21.94378891221883,0.8577070742886416,0.5411859508896375,21.025465075807134
7,vpn,Duration,0,Text length,10000,502,172,1000,229,0.7872288958589926,0.3830313824433747,18.977583316171664,0.8444628020976238,0.49334026874595627,17.711821531814152
8,vpn,Duration,5,Text length,0,311,1985,1000,229,0.8235264076765356,0.4613931728205371,29.5052201785642,0.857797092298713,0.5396105883523684,28.83786611526605
9,vpn,Duration,5,Text length,100,311,1977,1000,229,0.8237780438991391,0.46214682237482885,29.40767169992634,0.8581290439771743,0.5407952009002399,28.739370564020046
10,vpn,Duration,5,Text length,1000,311,1862,1000,229,0.8229939548874882,0.45987207879495406,28.12734791780431,0.8570842752169799,0.5367367884674267,27.46303237912392
11,vpn,Duration,5,Text length,2000,311,1625,1000,229,0.8216765302829778,0.4548152352648223,29.008333326632176,0.8570536029677608,0.5357683949908487,28.322989801160897
12,vpn,Duration,5,Text length,3000,311,1279,1000,229,0.8189941067105093,0.4539966129193987,26.79632435157564,0.8616192623012076,0.5541195796295492,25.99188489971638
13,vpn,Duration,5,Text length,5000,311,747,1000,229,0.8176094871687766,0.45068600644323437,25.842668153268782,0.8612756260380606,0.5526810954283882,25.026944234326972
14,vpn,Duration,5,Text length,7500,311,330,1000,229,0.8061505922240411,0.4286108206499351,22.40356831411684,0.858815842020623,0.544881831715296,21.50202791313355
15,vpn,Duration,5,Text length,10000,311,172,1000,229,0.7889167062031469,0.386261507558442,19.44141862801548,0.8458859579218694,0.49792560397157465,18.224767194578998
16,vpn,Duration,10,Text length,0,141,1985,1000,229,0.8201537790764927,0.4502075714868236,27.568734626029144,0.85491135821406,0.5283457063333421,26.8539000315342
17,vpn,Duration,10,Text length,100,141,1977,1000,229,0.8203818499463184,0.4508927545912617,27.475106221359884,0.8552264565726955,0.5294669279877816,26.759362613227367
18,vpn,Duration,10,Text length,1000,141,1862,1000,229,0.8193970824607881,0.4480549068552594,26.24623341007584,0.8539945508734599,0.5247020438438111,25.53431523433475
19,vpn,Duration,10,Text length,2000,141,1625,1000,229,0.8176662611756221,0.441929838108316,27.036524596231196,0.853791838107038,0.5230243079764071,26.304882022152793
20,vpn,Duration,10,Text length,3000,141,1279,1000,229,0.8144884558097727,0.4402681912681203,26.516633870721815,0.8582133507654657,0.5409461424793,25.62828850508499
21,vpn,Duration,10,Text length,5000,141,747,1000,229,0.8130772829782896,0.43689006060297514,23.697324640483586,0.8579191342924372,0.5396009038725162,22.856009958234957
22,vpn,Duration,10,Text length,7500,141,330,1000,229,0.8012288480378913,0.4145376116354659,22.13123400296845,0.8551786805655315,0.5308511105457183,21.17390169974388
23,vpn,Duration,10,Text length,10000,141,172,1000,229,0.7832953659648123,0.37085655531920375,19.225578340753266,0.8423006750861286,0.48340998281657926,17.894760066014953
24,vpn,Duration,15,Text length,0,46,1985,1000,229,0.8167959576193055,0.44096853826339755,23.432050103695325,0.8529804552193526,0.521581536594341,22.636437168365223
25,vpn,Duration,15,Text length,100,46,1977,1000,229,0.8170248577230859,0.44164309861322215,23.347797652714938,0.853298345382286,0.522697193912513,22.551366732423862
26,vpn,Duration,15,Text length,1000,46,1862,1000,229,0.8157755679941465,0.4381973248010506,22.255280154958804,0.8518339724775347,0.517176985438392,21.45608486967876
27,vpn,Duration,15,Text length,2000,46,1625,1000,229,0.8142223651693035,0.432486380686344,22.820684223161525,0.8514631376739006,0.5148370271126836,22.014211796431166
28,vpn,Duration,15,Text length,3000,46,1279,1000,229,0.8109504118567553,0.43106371026797624,22.028235356025384,0.855792356169183,0.5324642023356406,21.083246893456867
29,vpn,Duration,15,Text length,5000,46,747,1000,229,0.8107816055965953,0.43038540065639913,20.528825517938223,0.8560404823731523,0.5328678892885123,19.646334613007355
30,vpn,Duration,15,Text length,7500,46,330,1000,229,0.7964674947948586,0.4037847947571277,19.463465264521624,0.8524957197711711,0.5217371292910684,18.462697556548697
31,vpn,Duration,15,Text length,10000,46,172,1000,229,0.7772451021314881,0.3585493026026204,17.212495278925353,0.8393134354022684,0.4736119043158531,15.866709944078355
32,vpn,Duration,20,Text length,0,19,1985,1000,229,0.8020351087068421,0.39676255884206374,24.3052142660973,0.8434828336845517,0.48594083475357996,23.44347774596351
33,vpn,Duration,20,Text length,100,19,1977,1000,229,0.802164945187894,0.397169233037926,24.219890034015396,0.8437391071434369,0.4868191662272215,23.357325123278873
34,vpn,Duration,20,Text length,1000,19,1862,1000,229,0.8007397944119911,0.39317375685817085,23.111234923082968,0.8423357736591734,0.481287133703096,22.24811010621402
35,vpn,Duration,20,Text length,2000,19,1625,1000,229,0.7985345819867561,0.38603311429493886,21.416442574271898,0.8412870073966946,0.4765192816240283,20.534381819281386
36,vpn,Duration,20,Text length,3000,19,1279,1000,229,0.791728405042887,0.37860021483030154,18.76953507149911,0.8433242010450931,0.48691340673174194,17.5643191857385
37,vpn,Duration,20,Text length,5000,19,747,1000,229,0.7929375925886024,0.3800522273842394,17.91163533603467,0.8438532932004275,0.4876764081747742,16.827022471684277
38,vpn,Duration,20,Text length,7500,19,330,1000,229,0.7782791455582538,0.35516654445394286,15.884577282930639,0.8396138907836175,0.4747594507203551,14.663728118615062
39,vpn,Duration,20,Text length,10000,19,172,1000,229,0.7570414136613366,0.30754714856569704,13.941503010475666,0.8236827662463347,0.41874736063891665,12.527136970312297
40,vpn,Duration,25,Text length,0,11,1985,1000,229,0.8012277464867885,0.39725361171829177,21.056462851803474,0.8428084811092177,0.48430465419376195,20.136732762716804
41,vpn,Duration,25,Text length,100,11,1977,1000,229,0.8013496077662314,0.3976438826599153,20.97942124933814,0.843002307235921,0.48498794617678603,20.05894318352851
42,vpn,Duration,25,Text length,1000,11,1862,1000,229,0.7999395746242867,0.3938037043260739,19.98751061759701,0.8416868299127415,0.4797602374829212,19.063884816411562
43,vpn,Duration,25,Text length,2000,11,1625,1000,229,0.7968504211339137,0.3850197114483251,20.652169533411538,0.839821589981878,0.4725782229677499,19.75976251205917
44,vpn,Duration,25,Text length,3000,11,1279,1000,229,0.7887567514459384,0.3758835510846917,18.17621833026763,0.8417393412005182,0.4827257342917079,16.96840949199763
45,vpn,Duration,25,Text length,5000,11,747,1000,229,0.7908222064652873,0.3788576246222685,18.852386386832183,0.8424046603307555,0.48381191473757085,17.830182634194557
46,vpn,Duration,25,Text length,7500,11,330,1000,229,0.7779527889866138,0.35777420653318154,19.456325010288328,0.8385690596264535,0.4723813529644201,18.300994233521738
47,vpn,Duration,25,Text length,10000,11,172,1000,229,0.7552151441077763,0.30900621701113457,16.696243896948115,0.8229647902479902,0.4178378579796546,15.34623264275579
48,vpn,Duration,30,Text length,0,6,1985,1000,229,0.8066721121798769,0.40616997435513363,29.990970296001638,0.8451854389525945,0.48933620353658513,29.17638520815551
49,vpn,Duration,30,Text length,100,6,1977,1000,229,0.8068793636097719,0.40676067199743476,29.88881576405513,0.8454600753844246,0.4903033188557088,29.073238884636705
50,vpn,Duration,30,Text length,1000,6,1862,1000,229,0.8060932821841462,0.40398120260822257,28.548037532257204,0.84412939386394,0.48479728316190007,27.736634442372203
51,vpn,Duration,30,Text length,2000,6,1625,1000,229,0.8033430208096379,0.3953914315835393,29.440572269668117,0.8426050258673298,0.4784230333290435,28.645178631341203
