,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,vpn,Installs,0,View count,0,502,1985,1000,229,0.822555055145801,0.45888354532390696,29.435898261459617,0.857188566450529,0.5374773917298153,28.72553929181584
1,vpn,Installs,0,View count,100,480,1985,1000,229,0.8247204742525063,0.4666388269464853,29.583313720040742,0.8586197685328266,0.5434584619217645,28.89455011722617
2,vpn,Installs,0,View count,1000,452,1985,1000,229,0.8267547645215915,0.47335074984720704,29.590247756190895,0.8601791215700354,0.5494604166270869,28.925171199147137
3,vpn,Installs,0,View count,10000,343,1985,1000,229,0.8327067210542505,0.49548641972503193,26.36160124651142,0.8652137568350926,0.5698469415025563,25.72939720536829
4,vpn,Installs,0,View count,20000,283,1985,1000,229,0.8331907156881152,0.49450728256776927,26.87814463226765,0.8672104910608137,0.5756682685411291,26.282925644405072
5,vpn,Installs,0,View count,35000,251,1985,1000,229,0.8348587877158381,0.5009499985437745,26.532100398579942,0.8705007984817511,0.5879713273395396,25.956294092120384
6,vpn,Installs,0,View count,50000,222,1985,1000,229,0.8350279610947743,0.502766478968264,26.304725779517618,0.8726485832581574,0.5960715602150004,25.57727768219672
7,vpn,Installs,0,View count,75000,183,1985,1000,229,0.8304877431896145,0.4895581246369005,22.137667286370906,0.8720614764026687,0.5937362485838787,21.280212325093323
8,vpn,Installs,0,View count,100000,164,1985,1000,229,0.8332241193161224,0.4970676225641565,22.46123426739425,0.8763726991916219,0.6098970496306364,21.564864467039982
9,vpn,Installs,0,View count,200000,108,1985,1000,229,0.8261067478226458,0.4731974373948011,20.78488120007999,0.8724584461593892,0.5944866973612438,19.639725795255526
10,vpn,Installs,0,View count,300000,85,1985,1000,229,0.8174857211501901,0.4433012842928899,20.076821319652232,0.8612364692857655,0.5499649948739112,18.846074947314577
11,vpn,Installs,0,View count,400000,64,1985,1000,229,0.803649998659039,0.4028945857385,20.54990116943628,0.8537606210361427,0.519401885719876,19.485814343882815
12,vpn,Installs,0,View count,500000,51,1985,1000,229,0.8058522779099949,0.4076961884562088,24.230495375877286,0.8522331487509489,0.5139955270898616,23.233571329000707
13,vpn,Installs,0,View count,750000,32,1985,1000,229,0.7791709228219271,0.34441462683591184,18.479232486545616,0.8467110401352386,0.4914647904499107,17.19624082710368
14,vpn,Installs,0,View count,1000000,26,1985,1000,229,0.7917492074497242,0.3791991676264968,17.34747150646394,0.8536704313434526,0.5194848632895636,16.060574451453718
15,vpn,Installs,0,View count,10000000,6,1985,1000,229,0.8138283135705833,0.42909253252104423,29.37804310432259,0.8507181724902971,0.5114991101904981,28.557507267042674
16,vpn,Installs,100,View count,0,502,1985,1000,30,0.8187386493391231,0.4484804162589016,28.95540070059645,0.8533254114514753,0.5242229345325723,28.162404114041205
17,vpn,Installs,100,View count,100,480,1985,1000,30,0.8204151558721351,0.4545992777353998,29.12929186433909,0.8544525612795388,0.5291488957338377,28.33413618513344
18,vpn,Installs,100,View count,1000,452,1985,1000,30,0.8219926650699813,0.459759173058664,29.16173953581387,0.8557330844475097,0.5340869153755029,28.362590270434076
19,vpn,Installs,100,View count,10000,343,1985,1000,30,0.8261820896335307,0.476350851996621,26.069358591510426,0.8588425187702055,0.5477712350490099,25.270425694798394
20,vpn,Installs,100,View count,20000,283,1985,1000,30,0.8267026346974611,0.4752728669671998,26.69601458701604,0.8605350966312223,0.5517050547526421,25.826591404156495
21,vpn,Installs,100,View count,35000,251,1985,1000,30,0.8279991039865305,0.48063385081603255,26.493561939247577,0.8635992374893969,0.5630390076365211,25.577857213368745
22,vpn,Installs,100,View count,50000,222,1985,1000,30,0.8282762535688811,0.48310590359974914,26.261938528317714,0.8657213483217172,0.5709364540447935,25.283582517613958
23,vpn,Installs,100,View count,75000,183,1985,1000,30,0.8241926993476147,0.472223533398207,22.242897390692693,0.8637386300529238,0.5634676399408456,21.11858671784271
24,vpn,Installs,100,View count,100000,164,1985,1000,30,0.8271562753809941,0.4801980640405113,22.074434778506816,0.8682780607580017,0.5794821633774517,20.97197938000718
25,vpn,Installs,100,View count,200000,108,1985,1000,30,0.8203911672096525,0.4578261728588626,20.921090773247947,0.8652830814208288,0.5667525468239929,19.652699568927318
26,vpn,Installs,100,View count,300000,85,1985,1000,30,0.807512053535068,0.41417885151910705,20.394782045161012,0.8534138592344043,0.520399391215349,19.10150138944576
27,vpn,Installs,100,View count,400000,64,1985,1000,30,0.7954071603292542,0.3812653985865631,20.86734526017469,0.8483290851644074,0.4993933537460951,19.606335929386123
28,vpn,Installs,100,View count,500000,51,1985,1000,30,0.7937113800941081,0.3730364604776332,23.65535886671111,0.8434531550045188,0.48124796167367623,22.46451188668815
29,vpn,Installs,100,View count,750000,32,1985,1000,30,0.767371036206744,0.31601320551461637,18.369414465094323,0.8327073029209272,0.4388515890525724,16.95732865369129
30,vpn,Installs,100,View count,1000000,26,1985,1000,30,0.7731555462961319,0.3282881676276176,17.215568311248177,0.8357359874511178,0.45080610624501605,15.865910841365507
31,vpn,Installs,100,View count,10000000,6,1985,1000,30,0.808838331189747,0.41520870175978586,28.823867483748668,0.8455763198081434,0.49347636331312306,27.989978842852164
32,vpn,Installs,1000,View count,0,502,1985,1000,30,0.8187386493391231,0.4484804162589016,28.95540070059645,0.8533254114514753,0.5242229345325723,28.162404114041205
33,vpn,Installs,1000,View count,100,480,1985,1000,30,0.8204151558721351,0.4545992777353998,29.12929186433909,0.8544525612795388,0.5291488957338377,28.33413618513344
34,vpn,Installs,1000,View count,1000,452,1985,1000,30,0.8219926650699813,0.459759173058664,29.16173953581387,0.8557330844475097,0.5340869153755029,28.362590270434076
35,vpn,Installs,1000,View count,10000,343,1985,1000,30,0.8261820896335307,0.476350851996621,26.069358591510426,0.8588425187702055,0.5477712350490099,25.270425694798394
