,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,vpn,Track time,0,Text length,0,502,1985,1000,229,0.822555055145801,0.45888354532390696,29.435898261459617,0.857188566450529,0.5374773917298153,28.72553929181584
1,vpn,Track time,0,Text length,100,502,1977,1000,229,0.8228447551454371,0.45972810505819284,29.336899053453287,0.8575344528573355,0.5387043575410593,28.62557892645022
2,vpn,Track time,0,Text length,1000,502,1862,1000,229,0.8220569318752718,0.4574495285642053,28.037534448370135,0.8564482709557096,0.5344982540622972,27.330259191920717
3,vpn,Track time,0,Text length,2000,502,1625,1000,229,0.8206700716629903,0.4521935302311622,28.91417588384654,0.8563897397302727,0.5333857675370228,28.20006000908526
4,vpn,Track time,0,Text length,3000,502,1279,1000,229,0.8182229140671251,0.45216622156151476,27.082104830549262,0.8609131008138868,0.5516452851606685,26.251250485657476
5,vpn,Track time,0,Text length,5000,502,747,1000,229,0.8171709958084996,0.44962358097745503,26.0884157727374,0.8605326463460021,0.5500703257629735,25.255720246407424
6,vpn,Track time,0,Text length,7500,502,330,1000,229,0.8052885766777989,0.4268752443302571,21.94378891221883,0.8577070742886416,0.5411859508896375,21.025465075807134
7,vpn,Track time,0,Text length,10000,502,172,1000,229,0.7872288958589926,0.3830313824433747,18.977583316171664,0.8444628020976238,0.49334026874595627,17.711821531814152
8,vpn,Track time,5,Text length,0,502,1985,873,229,0.8277881230584694,0.47674658870283815,27.163140007989366,0.8613722337084597,0.5535362686725565,26.402149482927218
9,vpn,Track time,5,Text length,100,502,1977,873,229,0.8281484378119117,0.47779708051831254,27.064140799983036,0.8618193278237598,0.5551253641870378,26.30218911756159
10,vpn,Track time,5,Text length,1000,502,1862,873,229,0.8270819003422648,0.4749359636191346,25.764776194899873,0.8605209345613657,0.5502614452729496,25.006869383032072
11,vpn,Track time,5,Text length,2000,502,1625,873,229,0.8250253642868506,0.46801533165284337,26.535438287352296,0.8599869322587577,0.5476272666055758,25.804455828597376
12,vpn,Track time,5,Text length,3000,502,1279,873,229,0.8224730284093233,0.4681897412038854,24.672773099923496,0.8647997745588836,0.5669703783936298,23.729491455844794
13,vpn,Track time,5,Text length,5000,502,747,873,229,0.8217311641797256,0.4665021576658182,23.571835223337285,0.8650009275311824,0.5674538111946703,22.75061428325699
14,vpn,Track time,5,Text length,7500,502,330,873,229,0.805706361925535,0.4361112695432998,20.235790402130416,0.8607807959411943,0.5542046496419577,19.17278048506794
15,vpn,Track time,5,Text length,10000,502,172,873,229,0.7882823741173572,0.3946622618341331,17.38444836455066,0.8475498221582891,0.5070636893991686,15.83166107900485
16,vpn,Track time,10,Text length,0,502,1985,726,229,0.8276934726005265,0.476484995210876,27.306622561197806,0.8605844958035924,0.5504492331052526,26.50581880220305
17,vpn,Track time,10,Text length,100,502,1977,726,229,0.8280098311539916,0.4774185275379914,27.211249043822484,0.8609866833781243,0.5518815087248784,26.409519328348356
18,vpn,Track time,10,Text length,1000,502,1862,726,229,0.8267466587345439,0.4740759851046559,25.935628248927568,0.8594546024834455,0.5462313846496382,25.169663602469196
19,vpn,Track time,10,Text length,2000,502,1625,726,229,0.82479577553216,0.46749495509784483,26.65798159889081,0.8592509885737101,0.5447170766737107,25.922405450949768
20,vpn,Track time,10,Text length,3000,502,1279,726,229,0.8217188206327728,0.4662421516882255,25.52427597212773,0.8636219101401119,0.5624624855021018,24.45908970677602
21,vpn,Track time,10,Text length,5000,502,747,726,229,0.821061873814343,0.46475282017564745,24.331555425972486,0.8641960656776166,0.5642069474645427,23.39413423690739
22,vpn,Track time,10,Text length,7500,502,330,726,229,0.8068234301608599,0.4378202952575405,19.90906000176466,0.859030618756547,0.5478431598192022,18.749236001475165
23,vpn,Track time,10,Text length,10000,502,172,726,229,0.7905213066362319,0.3984746666325983,17.06342824575659,0.8459629282762655,0.501548616469844,15.706070171149475
24,vpn,Track time,25,Text length,0,502,1985,482,229,0.8157792015095263,0.45221175228508687,26.09507072829096,0.853542246861333,0.5297932645621736,25.06895852075927
25,vpn,Track time,25,Text length,100,502,1977,482,229,0.8160810275747787,0.45305187155865223,26.01831511815364,0.8540411401381333,0.531408915543712,24.965624107111605
26,vpn,Track time,25,Text length,1000,502,1862,482,229,0.8144136639502009,0.4493956646558048,24.67897722259526,0.8522151193683235,0.5252353034632209,23.626582330260696
27,vpn,Track time,25,Text length,2000,502,1625,482,229,0.8112553198581487,0.4404794463577291,23.507044648324463,0.8513262918768099,0.5211867815694902,22.401257221074438
28,vpn,Track time,25,Text length,3000,502,1279,482,229,0.8056373057635164,0.4378335288862163,20.833283237668923,0.8552617568348003,0.5383840726049388,19.107932880088683
29,vpn,Track time,25,Text length,5000,502,747,482,229,0.8065789022562044,0.43980789804925313,19.8516951998066,0.8558938766809989,0.5398931509258992,18.18581370562276
30,vpn,Track time,25,Text length,7500,502,330,482,229,0.7876282743336167,0.4110096535685483,17.07739053151123,0.8484273930397013,0.5205638663093158,15.340860010999116
