,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Filter 3,Threshold 3,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,vpn,Track time,0,Text length,0,Duration,0,502,1985,1000,229,0.822555055145801,0.45888354532390696,29.435898261459617,0.857188566450529,0.5374773917298153,28.72553929181584
1,vpn,Track time,0,Text length,0,Duration,5,311,1985,1000,229,0.8235264076765356,0.4613931728205371,29.5052201785642,0.857797092298713,0.5396105883523684,28.83786611526605
2,vpn,Track time,0,Text length,0,Duration,10,141,1985,1000,229,0.8201537790764927,0.4502075714868236,27.568734626029144,0.85491135821406,0.5283457063333421,26.8539000315342
3,vpn,Track time,0,Text length,0,Duration,15,46,1985,1000,229,0.8167959576193055,0.44096853826339755,23.432050103695325,0.8529804552193526,0.521581536594341,22.636437168365223
4,vpn,Track time,0,Text length,0,Duration,20,19,1985,1000,229,0.8020351087068421,0.39676255884206374,24.3052142660973,0.8434828336845517,0.48594083475357996,23.44347774596351
5,vpn,Track time,0,Text length,0,Duration,25,11,1985,1000,229,0.8012277464867885,0.39725361171829177,21.056462851803474,0.8428084811092177,0.48430465419376195,20.136732762716804
6,vpn,Track time,0,Text length,0,Duration,30,6,1985,1000,229,0.8066721121798769,0.40616997435513363,29.990970296001638,0.8451854389525945,0.48933620353658513,29.17638520815551
7,vpn,Track time,0,Text length,0,Duration,40,6,1985,1000,229,0.8066721121798769,0.40616997435513363,29.990970296001638,0.8451854389525945,0.48933620353658513,29.17638520815551
8,vpn,Track time,0,Text length,0,Duration,50,5,1985,1000,229,0.8102977564924786,0.41829833083112383,29.684506700162114,0.8490287190089635,0.5040308430624937,28.866946237599098
9,vpn,Track time,0,Text length,0,Duration,75,3,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
10,vpn,Track time,0,Text length,0,Duration,100,2,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
11,vpn,Track time,0,Text length,0,Duration,125,2,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
12,vpn,Track time,0,Text length,0,Duration,150,1,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
13,vpn,Track time,0,Text length,100,Duration,0,502,1977,1000,229,0.8228447551454371,0.45972810505819284,29.336899053453287,0.8575344528573355,0.5387043575410593,28.62557892645022
14,vpn,Track time,0,Text length,100,Duration,5,311,1977,1000,229,0.8237780438991391,0.46214682237482885,29.40767169992634,0.8581290439771743,0.5407952009002399,28.739370564020046
15,vpn,Track time,0,Text length,100,Duration,10,141,1977,1000,229,0.8203818499463184,0.4508927545912617,27.475106221359884,0.8552264565726955,0.5294669279877816,26.759362613227367
16,vpn,Track time,0,Text length,100,Duration,15,46,1977,1000,229,0.8170248577230859,0.44164309861322215,23.347797652714938,0.853298345382286,0.522697193912513,22.551366732423862
17,vpn,Track time,0,Text length,100,Duration,20,19,1977,1000,229,0.802164945187894,0.397169233037926,24.219890034015396,0.8437391071434369,0.4868191662272215,23.357325123278873
18,vpn,Track time,0,Text length,100,Duration,25,11,1977,1000,229,0.8013496077662314,0.3976438826599153,20.97942124933814,0.843002307235921,0.48498794617678603,20.05894318352851
19,vpn,Track time,0,Text length,100,Duration,30,6,1977,1000,229,0.8068793636097719,0.40676067199743476,29.88881576405513,0.8454600753844246,0.4903033188557088,29.073238884636705
20,vpn,Track time,0,Text length,100,Duration,40,6,1977,1000,229,0.8068793636097719,0.40676067199743476,29.88881576405513,0.8454600753844246,0.4903033188557088,29.073238884636705
21,vpn,Track time,0,Text length,100,Duration,50,5,1977,1000,229,0.8105283244302143,0.4189566564125073,29.582352168215607,0.8493299448969894,0.5051045694642238,28.763799914080302
22,vpn,Track time,0,Text length,100,Duration,75,3,1977,1000,229,0.8163615689808101,0.43741270469177695,28.96942497653656,0.8530308034405151,0.5202532845657408,28.144921972967463
23,vpn,Track time,0,Text length,100,Duration,100,2,1977,1000,229,0.8163615689808101,0.43741270469177695,28.96942497653656,0.8530308034405151,0.5202532845657408,28.144921972967463
24,vpn,Track time,0,Text length,100,Duration,125,2,1977,1000,229,0.8163615689808101,0.43741270469177695,28.96942497653656,0.8530308034405151,0.5202532845657408,28.144921972967463
25,vpn,Track time,0,Text length,100,Duration,150,1,1977,1000,229,0.8163615689808101,0.43741270469177695,28.96942497653656,0.8530308034405151,0.5202532845657408,28.144921972967463
26,vpn,Track time,0,Text length,1000,Duration,0,502,1862,1000,229,0.8220569318752718,0.4574495285642053,28.037534448370135,0.8564482709557096,0.5344982540622972,27.330259191920717
27,vpn,Track time,0,Text length,1000,Duration,5,311,1862,1000,229,0.8229939548874882,0.45987207879495406,28.12734791780431,0.8570842752169799,0.5367367884674267,27.46303237912392
28,vpn,Track time,0,Text length,1000,Duration,10,141,1862,1000,229,0.8193970824607881,0.4480549068552594,26.24623341007584,0.8539945508734599,0.5247020438438111,25.53431523433475
29,vpn,Track time,0,Text length,1000,Duration,15,46,1862,1000,229,0.8157755679941465,0.4381973248010506,22.255280154958804,0.8518339724775347,0.517176985438392,21.45608486967876
30,vpn,Track time,0,Text length,1000,Duration,20,19,1862,1000,229,0.8007397944119911,0.39317375685817085,23.111234923082968,0.8423357736591734,0.481287133703096,22.24811010621402
31,vpn,Track time,0,Text length,1000,Duration,25,11,1862,1000,229,0.7999395746242867,0.3938037043260739,19.98751061759701,0.8416868299127415,0.4797602374829212,19.063884816411562
32,vpn,Track time,0,Text length,1000,Duration,30,6,1862,1000,229,0.8060932821841462,0.40398120260822257,28.548037532257204,0.84412939386394,0.48479728316190007,27.736634442372203
33,vpn,Track time,0,Text length,1000,Duration,40,6,1862,1000,229,0.8060932821841462,0.40398120260822257,28.548037532257204,0.84412939386394,0.48479728316190007,27.736634442372203
34,vpn,Track time,0,Text length,1000,Duration,50,5,1862,1000,229,0.8095152319365682,0.41580088046035735,28.24157393641768,0.8481427151160681,0.5001719015543452,27.427195471815786
