,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,windows 11,Duration,0,Text length,0,540,1349,984,37,0.750934673021067,0.3585849347132469,21.426386778741634,0.7887455113835338,0.42825428218294714,19.92600253699647
1,windows 11,Duration,0,Text length,100,540,1294,984,37,0.747790004705204,0.3536667597350723,21.563037717944674,0.785977966678046,0.42151336946655227,20.16867125282439
2,windows 11,Duration,0,Text length,1000,540,1207,984,37,0.7437198619889345,0.3453581332162591,21.724825046559143,0.7815361389087905,0.4100449898666893,20.423471007510553
3,windows 11,Duration,0,Text length,2000,540,936,984,37,0.7683157202218601,0.4141145804328597,20.947096457701335,0.8062176838195891,0.48597255668296196,19.864897445949765
4,windows 11,Duration,0,Text length,3000,540,579,984,37,0.7800217004219953,0.4522215467213204,20.494411868135362,0.8236310696675374,0.5386901363421105,19.271524424858427
5,windows 11,Duration,0,Text length,5000,540,289,984,37,0.795351525768955,0.5146628075468628,19.41751043669403,0.857656738833798,0.6405325766413243,17.012879444758404
6,windows 11,Duration,0,Text length,7500,540,123,984,37,0.7459693880774186,0.43141287377008647,21.510625342046644,0.8170219207333472,0.5439009154997549,19.338894932945898
7,windows 11,Duration,0,Text length,10000,540,58,984,37,0.6947340336940546,0.3615765711430378,23.19677762884025,0.782914582938364,0.47346985958787163,21.472334400456337
8,windows 11,Duration,5,Text length,0,399,1349,984,37,0.7533906750403288,0.3664498693469528,21.344019921464458,0.7920472435148451,0.43893264651964886,20.27672212732564
9,windows 11,Duration,5,Text length,100,399,1294,984,37,0.7502795760126912,0.3616376143867996,21.496656475087036,0.7893960431337815,0.43250005928636204,20.553563803517935
10,windows 11,Duration,5,Text length,1000,399,1207,984,37,0.7461994915715048,0.3533724407962671,21.715674519788166,0.7849913674965746,0.42113495381007265,20.76474144746008
11,windows 11,Duration,5,Text length,2000,399,936,984,37,0.7694719011345897,0.41909881606372146,21.203339407798605,0.8084182384395125,0.4934712459825362,20.309152268309244
12,windows 11,Duration,5,Text length,3000,399,579,984,37,0.7805919363147159,0.455639519655184,20.815691397996897,0.8252489151910061,0.5442666600568062,19.83992203682334
13,windows 11,Duration,5,Text length,5000,399,289,984,37,0.7955075178775446,0.516261045422427,19.347628007585637,0.858122074667814,0.6422302935708508,16.996359915872006
14,windows 11,Duration,5,Text length,7500,399,123,984,37,0.7467638722952353,0.4352555568410453,21.417036385959026,0.8186854470347145,0.5496265972302498,19.253823525534084
15,windows 11,Duration,5,Text length,10000,399,58,984,37,0.698039695736821,0.3686646214959471,23.033886751487096,0.7863688302693139,0.48299539391984,21.5330706650884
16,windows 11,Duration,10,Text length,0,219,1349,984,37,0.7536416230153522,0.3687969442852542,21.529764324559157,0.793229655979736,0.4429834224239836,20.718499214346572
17,windows 11,Duration,10,Text length,100,219,1294,984,37,0.7503874457435976,0.36382897330007447,21.736934149501185,0.790608810956178,0.4366560358849666,20.971441753437695
18,windows 11,Duration,10,Text length,1000,219,1207,984,37,0.7463067396381259,0.3556534297463507,21.896333462623,0.7863769514398311,0.4257025101362034,21.17805362622373
19,windows 11,Duration,10,Text length,2000,219,936,984,37,0.7686645793594544,0.419150809877681,21.59825229232874,0.808943611620663,0.4956354325448831,20.774831207498433
20,windows 11,Duration,10,Text length,3000,219,579,984,37,0.7791538937043089,0.4542316932525436,21.191575871978976,0.8251601341180498,0.5446240653215416,20.395197018434054
21,windows 11,Duration,10,Text length,5000,219,289,984,37,0.7936781457165869,0.5136663857206215,19.525632731995223,0.8571288116790063,0.639809084075284,17.482271499266886
22,windows 11,Duration,10,Text length,7500,219,123,984,37,0.744600823898985,0.43350036474830866,21.768947698315728,0.8185004673040877,0.5499915805052353,20.023017783511516
23,windows 11,Duration,10,Text length,10000,219,58,984,37,0.6995966048789116,0.37178758360792186,23.244154189523798,0.7885716410479766,0.48788743042812005,22.061193300536175
24,windows 11,Duration,15,Text length,0,102,1349,984,37,0.7508518006808614,0.36623120708474277,21.59126673878226,0.7932256413183684,0.44490561093947767,20.71169565591563
25,windows 11,Duration,15,Text length,100,102,1294,984,37,0.7476498241559394,0.3615534439602633,21.765923862197145,0.7905988951127413,0.4387200277689045,20.962813409897773
26,windows 11,Duration,15,Text length,1000,102,1207,984,37,0.7434738313663074,0.3534615627706399,21.923135142687954,0.7863917677003651,0.42800689390215996,21.16784129060925
27,windows 11,Duration,15,Text length,2000,102,936,984,37,0.7652206437722858,0.41476388310233464,21.601307354189206,0.8083244394201573,0.4956079576831061,20.748681333164143
28,windows 11,Duration,15,Text length,3000,102,579,984,37,0.7750700798752117,0.4483111954863134,21.213051877677227,0.8230692707324496,0.5404959441140965,20.318748041111707
29,windows 11,Duration,15,Text length,5000,102,289,984,37,0.7880326349252094,0.5047644742558314,19.564551690347876,0.8541147791951856,0.6325439972593785,17.481474818683406
30,windows 11,Duration,15,Text length,7500,102,123,984,37,0.7364614399718921,0.424007526311929,21.839537590545657,0.8136655159353853,0.5421082636384827,19.953403172554435
31,windows 11,Duration,15,Text length,10000,102,58,984,37,0.6914152191520343,0.36448877644882943,23.34455667789001,0.7821815058525614,0.47968862631865733,21.933103055001656
32,windows 11,Duration,20,Text length,0,54,1349,984,37,0.7441534889131601,0.3485490166383351,21.924741062939823,0.7876058490642985,0.42825366639829127,20.94438757889279
33,windows 11,Duration,20,Text length,100,54,1294,984,37,0.7408853196315034,0.3437739866704811,22.07959397400391,0.7849385297066734,0.42200212186096214,21.19550533287493
34,windows 11,Duration,20,Text length,1000,54,1207,984,37,0.7369056480123044,0.33599935029977873,22.2795592978752,0.7809501552307987,0.4118098346156473,21.402682100768992
35,windows 11,Duration,20,Text length,2000,54,936,984,37,0.7604462032585474,0.4007774762793008,21.787286520715917,0.8044004017801908,0.48338660507662373,20.970686317207107
36,windows 11,Duration,20,Text length,3000,54,579,984,37,0.7701247985107589,0.4346501973349506,21.39131981531116,0.8192928894487972,0.5290586901332875,20.558124543043824
37,windows 11,Duration,20,Text length,5000,54,289,984,37,0.7831274317192627,0.49300964680102183,19.918702581919142,0.8513112095296265,0.6245085599172584,17.773758236623863
38,windows 11,Duration,20,Text length,7500,54,123,984,37,0.7279428290819598,0.4063258427906746,22.065098879615007,0.8099635528611908,0.5312491900999262,20.204603715408606
39,windows 11,Duration,20,Text length,10000,54,58,984,37,0.6830637880432151,0.3475126373815107,23.52207977207978,0.778086341954495,0.46758203371331963,22.240746188966252
40,windows 11,Duration,25,Text length,0,29,1349,984,37,0.7422191974132255,0.3404171078074566,21.702602952602945,0.7847168149141142,0.4168279337555369,20.45231047805741
41,windows 11,Duration,25,Text length,100,29,1294,984,37,0.7385640989048764,0.33494888338633005,21.820306765058145,0.7817735739792672,0.40977378327261826,20.72970943860823
42,windows 11,Duration,25,Text length,1000,29,1207,984,37,0.7343370688536215,0.3266904300811099,22.058297210736228,0.7774904606971554,0.3987681733324382,20.963967648788874
43,windows 11,Duration,25,Text length,2000,29,936,984,37,0.7597959239682576,0.3958475600977679,21.371031333902614,0.8028470543700841,0.4761555623429669,20.459683508803955
44,windows 11,Duration,25,Text length,3000,29,579,984,37,0.7696483421936142,0.4308449197800247,21.029338510774156,0.8193004345214532,0.5265240224113379,19.98590635762605
45,windows 11,Duration,25,Text length,5000,29,289,984,37,0.7826623853883575,0.4909492908549934,19.89709569129459,0.8541368276035347,0.6307896029850337,17.148301842288866
46,windows 11,Duration,25,Text length,7500,29,123,984,37,0.7220681329997042,0.3963074648722497,22.40588517762431,0.80757857650935,0.5229583573776218,20.62991571222891
47,windows 11,Duration,25,Text length,10000,29,58,984,37,0.6731017484776403,0.33383149502514686,23.9528274276851,0.7723189359532222,0.4527198697552284,22.670733172566234
48,windows 11,Duration,30,Text length,0,23,1349,984,37,0.74091187677703,0.34266209650102436,21.990246640867763,0.786932386032723,0.4247519059939145,21.08133334389138
49,windows 11,Duration,30,Text length,100,23,1294,984,37,0.7370838259881899,0.3371851477937649,22.228465978465984,0.7840663788023375,0.417959435973854,21.341927239533216
50,windows 11,Duration,30,Text length,1000,23,1207,984,37,0.7329166503567681,0.3292450334689871,22.45705518184111,0.7799600838267648,0.40740123459824357,21.563121196849583
51,windows 11,Duration,30,Text length,2000,23,936,984,37,0.7573416004740324,0.3953449115085596,21.977842042683545,0.804615421606838,0.48252374265574943,21.166247781339685
52,windows 11,Duration,30,Text length,3000,23,579,984,37,0.7661652139756018,0.42813325264493934,21.60353955202658,0.8196168737098853,0.5289365395117785,20.788951884192652
53,windows 11,Duration,30,Text length,5000,23,289,984,37,0.778048912482429,0.4856750586627435,20.146235134292453,0.8528622062614758,0.6281623828769303,17.960103165099767
54,windows 11,Duration,30,Text length,7500,23,123,984,37,0.7158542563855022,0.39291720476342484,22.565058149735574,0.8083124052681826,0.5271475912622602,20.574059311140427
55,windows 11,Duration,30,Text length,10000,23,58,984,37,0.6688498038580923,0.33440429521600346,24.046555296555297,0.7733870063272279,0.45853933350769704,22.5913395007246
56,windows 11,Duration,40,Text length,0,16,1349,984,37,0.7418615101837504,0.3397461849796411,21.753774446593596,0.7832864289197821,0.4127693841728402,20.24636817809718
57,windows 11,Duration,40,Text length,100,16,1294,984,37,0.7380634252288422,0.3340818231054984,21.871920927771985,0.7803962398753869,0.4058435472981184,20.444142241808038
58,windows 11,Duration,40,Text length,1000,16,1207,984,37,0.7339640028719601,0.3260077381367105,22.0569375069375,0.7761180631045367,0.39486977044079935,20.68890289861165
59,windows 11,Duration,40,Text length,2000,16,936,984,37,0.7599089599338241,0.3960812185620462,21.371762275015687,0.8019514078113704,0.4734290744862973,20.122630973475506
60,windows 11,Duration,40,Text length,3000,16,579,984,37,0.770419307183709,0.43229664917219635,20.978646781300885,0.8184814186381255,0.5240824491691807,19.621087297141298
61,windows 11,Duration,40,Text length,5000,16,289,984,37,0.7811119904903661,0.4888732428148379,20.09977054866558,0.8525244273571678,0.6265105842769684,17.193723788692417
62,windows 11,Duration,40,Text length,7500,16,123,984,37,0.7233047618660804,0.39835214190809765,22.57197891321979,0.8103217190610633,0.527562428292071,19.478810021648936
63,windows 11,Duration,40,Text length,10000,16,58,984,37,0.6717141927514816,0.3330569918813959,24.082732512965062,0.7751499554857164,0.4561206889102816,21.498457138556486
64,windows 11,Duration,50,Text length,0,14,1349,984,37,0.7442996835694439,0.3481357166136669,22.090280106119145,0.7878139331615032,0.4264097978208878,19.747702565397756
65,windows 11,Duration,50,Text length,100,14,1294,984,37,0.7406431165537963,0.34275881231163974,22.217058293685,0.7852476464703502,0.4201830213838981,19.879064506840805
66,windows 11,Duration,50,Text length,1000,14,1207,984,37,0.7365906743476008,0.3348153866564901,22.197073759573755,0.7812390713872822,0.4097035847734423,20.23583033291772
67,windows 11,Duration,50,Text length,2000,14,936,984,37,0.7629443748661026,0.40497344736604707,21.39266136979552,0.8071688410645302,0.48842320757882246,19.182022689600252
68,windows 11,Duration,50,Text length,3000,14,579,984,37,0.7730165110829033,0.44005870500999855,20.971144370534624,0.8234473366022472,0.5383650704002216,18.433366740257583
69,windows 11,Duration,50,Text length,5000,14,289,984,37,0.7802855411518677,0.49002009864068446,20.262096774193548,0.8561610186025417,0.6366866770505939,17.08627669322941
70,windows 11,Duration,50,Text length,7500,14,123,984,37,0.721171996162081,0.4004971046785434,22.758769985882665,0.8168725752672699,0.5438807235531683,19.219279259618375
71,windows 11,Duration,50,Text length,10000,14,58,984,37,0.6727795193446394,0.33959507879500084,24.09141538130901,0.7834578014897268,0.4747644863882184,21.495214487364883
72,windows 11,Duration,75,Text length,0,10,1349,984,37,0.740993323585601,0.3557020001853314,22.41345890596961,0.7971876122636571,0.45798120317002544,19.694435222875867
73,windows 11,Duration,75,Text length,100,10,1294,984,37,0.7350638198849381,0.3456315041481103,22.66996060683651,0.7945247206829206,0.4514097346566973,19.872174836649986
74,windows 11,Duration,75,Text length,1000,10,1207,984,37,0.7308645381152549,0.3376502585310253,22.88484883069453,0.7912250731062749,0.4427832070644443,20.209688134841542
75,windows 11,Duration,75,Text length,2000,10,936,984,37,0.7551300720579682,0.40070492931417057,22.031616161616164,0.816908147857693,0.5197331865732945,19.28849138635546
