,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,windows 11,Installs,0,View count,0,540,1349,984,37,0.750934673021067,0.3585849347132469,21.426386778741634,0.7887455113835338,0.42825428218294714,19.92600253699647
1,windows 11,Installs,0,View count,100,528,1349,984,37,0.7521630107936907,0.3619553046859966,21.338769595275394,0.7899869466145633,0.43212931308184294,19.95838618952772
2,windows 11,Installs,0,View count,1000,499,1349,984,37,0.7669390552648419,0.40450499520777855,21.000845792998653,0.8048821866718722,0.47922984551220704,19.684252031937
3,windows 11,Installs,0,View count,10000,445,1349,984,37,0.7779079396035621,0.43734028700596694,21.18911128614325,0.8167305481507197,0.5167033355938734,20.302286831708592
4,windows 11,Installs,0,View count,20000,422,1349,984,37,0.7762897811028656,0.43305400156609597,21.280337918465776,0.8151578636809529,0.5119891555602969,20.40463386257744
5,windows 11,Installs,0,View count,35000,387,1349,984,37,0.7746483602745226,0.42858353520341785,21.364321817101064,0.8137666751048152,0.5077319042107976,20.49319398368474
6,windows 11,Installs,0,View count,50000,364,1349,984,37,0.7743061336396381,0.42775630305051965,21.384216240380624,0.8129480838744546,0.5055194913867782,20.50541658102504
7,windows 11,Installs,0,View count,75000,328,1349,984,37,0.7757154920740864,0.43188775572722926,21.274801112129893,0.8136509815285271,0.508067909265854,20.381722883717824
8,windows 11,Installs,0,View count,100000,301,1349,984,37,0.779553325062905,0.44219603565528,21.062109503890326,0.8161738139987379,0.5160011095950762,20.150640823270166
9,windows 11,Installs,0,View count,200000,233,1349,984,37,0.7693211056856262,0.41679599396746225,21.4968233108216,0.8092308855275114,0.4952045141017924,20.597816759831325
10,windows 11,Installs,0,View count,300000,183,1349,984,37,0.7657099127106083,0.4092828117635573,21.579733052335804,0.8077495725915254,0.49154665675548825,20.59437640133212
11,windows 11,Installs,0,View count,400000,148,1349,984,37,0.7662172837156361,0.4145420796471563,21.370070069770424,0.8099168144746907,0.49916494742841,20.285253508172115
12,windows 11,Installs,0,View count,500000,128,1349,984,37,0.7670842295439264,0.4156340959688254,21.300127764168867,0.8099769521553418,0.4986962578026699,20.295011336040734
13,windows 11,Installs,0,View count,750000,94,1349,984,37,0.7605427415591897,0.40233971957885484,21.464985737246014,0.8064868914145064,0.4896905030108844,20.281194486873435
14,windows 11,Installs,0,View count,1000000,69,1349,984,37,0.7516196178617573,0.3787406505225137,21.97145320432992,0.798605189588444,0.46508035908402057,20.906105206876592
15,windows 11,Installs,0,View count,10000000,2,1349,984,37,0.7297804639851347,0.320479169272085,22.87154085231009,0.7782655306854788,0.40279170521388674,21.793457351709787
16,windows 11,Installs,100,View count,0,540,1349,984,30,0.7497897889480908,0.355692918295567,21.480031245506233,0.7876376421155021,0.42497316453803197,19.980167823826744
17,windows 11,Installs,100,View count,100,528,1349,984,30,0.7510294881213225,0.3590878346724333,21.391065042795375,0.7888912417044698,0.4288817044973304,20.01118935983915
18,windows 11,Installs,100,View count,1000,499,1349,984,30,0.7658451272958782,0.40172939472904556,21.048530022421506,0.803846045939199,0.476169696465048,19.732399215043564
19,windows 11,Installs,100,View count,10000,445,1349,984,30,0.7769289630639282,0.4348569604242838,21.226431272093375,0.8158000712748995,0.513976805670836,20.339969147619392
20,windows 11,Installs,100,View count,20000,422,1349,984,30,0.7753088647649597,0.4305647216715083,21.317657904415903,0.8142228268642642,0.5092490706473296,20.44231617848824
21,windows 11,Installs,100,View count,35000,387,1349,984,30,0.7736309189775311,0.4260244941273791,21.401641803051188,0.812819366558693,0.5049571181613343,20.530876299595548
22,windows 11,Installs,100,View count,50000,364,1349,984,30,0.7732798743407557,0.4251821117954277,21.421536226330744,0.8120018550272486,0.5027525639770343,20.54309889693585
23,windows 11,Installs,100,View count,75000,328,1349,984,30,0.7746846410484788,0.4293158330494626,21.312121098080013,0.8127144534024726,0.505339366376062,20.419405199628628
24,windows 11,Installs,100,View count,100000,301,1349,984,30,0.7785594118841306,0.4397019554198968,21.099429489840453,0.8152729993881714,0.5133774366040187,20.18832313918097
25,windows 11,Installs,100,View count,200000,233,1349,984,30,0.7683243043680473,0.4143031247448422,21.534143296771724,0.8083049774136473,0.4925042489344455,20.635499075742132
26,windows 11,Installs,100,View count,300000,183,1349,984,30,0.76470838556186,0.4068075329133325,21.617053038285924,0.8068364502442874,0.4888934723440542,20.632058717242924
