,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,windows 11,Rating,0,Comment count,0,540,1349,984,37,0.750934673021067,0.3585849347132469,21.426386778741634,0.7887455113835338,0.42825428218294714,19.92600253699647
1,windows 11,Rating,0,Comment count,100,362,1349,984,37,0.7781775142436618,0.4384616584781513,21.168664383561648,0.8164783710817889,0.516220958794698,20.303816190902253
2,windows 11,Rating,0,Comment count,1000,98,1349,984,37,0.7551167055681163,0.3849612703012213,21.997017561015856,0.8011464159848052,0.4720285597409022,21.029031448053257
3,windows 11,Rating,0,Comment count,10000,6,1349,984,37,0.7286585116010412,0.317275122747984,22.655512222819922,0.7781350030054607,0.4038450947698215,21.742122494549672
4,windows 11,Rating,0,Comment count,100000,0,1349,984,37,0.7489223440681902,0.3563642821596426,22.34132622578838,0.7872359070940681,0.4253581627940219,20.104326572628118
5,windows 11,Rating,0,Comment count,1000000,0,1349,984,37,0.7489223440681902,0.3563642821596426,22.34132622578838,0.7872359070940681,0.4253581627940219,20.104326572628118
6,windows 11,Rating,0,Comment count,10000000,0,1349,984,37,0.7489223440681902,0.3563642821596426,22.34132622578838,0.7872359070940681,0.4253581627940219,20.104326572628118
7,windows 11,Rating,100,Comment count,0,540,1349,984,29,0.7493659235217904,0.35466470121833266,21.493442362197385,0.7875161299910862,0.42462128643338276,19.984681597729267
8,windows 11,Rating,100,Comment count,100,362,1349,984,29,0.7772407245987994,0.4360609815862057,21.205984369511768,0.8155790817395857,0.5135790195258989,20.341498506813053
9,windows 11,Rating,100,Comment count,1000,98,1349,984,29,0.7540118529876714,0.38233576501454847,22.034337546965975,0.8001958526684848,0.4692728840134483,21.066713763964064
10,windows 11,Rating,100,Comment count,10000,6,1349,984,29,0.7274060404812189,0.314375883185961,22.69742543781006,0.7769359205671298,0.4004970528176429,21.78444263395719
11,windows 11,Rating,100,Comment count,100000,0,1349,984,29,0.7476867519544417,0.35329613808197935,22.405134705931523,0.7860495951420179,0.42189879950582904,20.16579818479017
12,windows 11,Rating,100,Comment count,1000000,0,1349,984,29,0.7476867519544417,0.35329613808197935,22.405134705931523,0.7860495951420179,0.42189879950582904,20.16579818479017
13,windows 11,Rating,100,Comment count,10000000,0,1349,984,29,0.7476867519544417,0.35329613808197935,22.405134705931523,0.7860495951420179,0.42189879950582904,20.16579818479017
14,windows 11,Rating,1000,Comment count,0,540,1349,984,29,0.7493659235217904,0.35466470121833266,21.493442362197385,0.7875161299910862,0.42462128643338276,19.984681597729267
15,windows 11,Rating,1000,Comment count,100,362,1349,984,29,0.7772407245987994,0.4360609815862057,21.205984369511768,0.8155790817395857,0.5135790195258989,20.341498506813053
16,windows 11,Rating,1000,Comment count,1000,98,1349,984,29,0.7540118529876714,0.38233576501454847,22.034337546965975,0.8001958526684848,0.4692728840134483,21.066713763964064
17,windows 11,Rating,1000,Comment count,10000,6,1349,984,29,0.7274060404812189,0.314375883185961,22.69742543781006,0.7769359205671298,0.4004970528176429,21.78444263395719
18,windows 11,Rating,1000,Comment count,100000,0,1349,984,29,0.7476867519544417,0.35329613808197935,22.405134705931523,0.7860495951420179,0.42189879950582904,20.16579818479017
19,windows 11,Rating,1000,Comment count,1000000,0,1349,984,29,0.7476867519544417,0.35329613808197935,22.405134705931523,0.7860495951420179,0.42189879950582904,20.16579818479017
20,windows 11,Rating,1000,Comment count,10000000,0,1349,984,29,0.7476867519544417,0.35329613808197935,22.405134705931523,0.7860495951420179,0.42189879950582904,20.16579818479017
21,windows 11,Rating,10000,Comment count,0,540,1349,984,28,0.7491645034858879,0.35409641686755666,21.506853478888537,0.7872430332056284,0.42381208887015215,19.998222919436838
22,windows 11,Rating,10000,Comment count,100,362,1349,984,28,0.7770344080355577,0.43550182090507855,21.215314365999298,0.815346451045286,0.5128969886032442,20.350919085790753
23,windows 11,Rating,10000,Comment count,1000,98,1349,984,28,0.7537653886266914,0.381714315935401,22.043667543453505,0.7999313273364906,0.468519752024659,21.076134342941764
24,windows 11,Rating,10000,Comment count,10000,6,1349,984,28,0.7271523961143727,0.31371439515667593,22.707903741557594,0.776631913310184,0.3996472560604787,21.795022668809068
25,windows 11,Rating,10000,Comment count,100000,0,1349,984,28,0.747445794672961,0.3526206847098021,22.42141573565877,0.7857486932935075,0.4210204674663824,20.182237282767197
26,windows 11,Rating,10000,Comment count,1000000,0,1349,984,28,0.747445794672961,0.3526206847098021,22.42141573565877,0.7857486932935075,0.4210204674663824,20.182237282767197
27,windows 11,Rating,10000,Comment count,10000000,0,1349,984,28,0.747445794672961,0.3526206847098021,22.42141573565877,0.7857486932935075,0.4210204674663824,20.182237282767197
28,windows 11,Rating,100000,Comment count,0,540,1349,984,27,0.7491149284080697,0.3537415172213743,21.49344236219739,0.7870846559109771,0.4232396790396826,20.011764241144405
29,windows 11,Rating,100000,Comment count,100,362,1349,984,27,0.7769432804549958,0.4351326540699892,21.224644362486828,0.8151862854874516,0.5123818902454447,20.360339664768457
30,windows 11,Rating,100000,Comment count,1000,98,1349,984,27,0.7536502837317686,0.3812747889042921,22.052997539941035,0.7997671751093803,0.46797707846926045,21.085554921919467
