,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,windows 11,Track time,0,Text length,0,540,1349,984,37,0.750934673021067,0.3585849347132469,21.426386778741634,0.7887455113835338,0.42825428218294714,19.92600253699647
1,windows 11,Track time,0,Text length,100,540,1294,984,37,0.747790004705204,0.3536667597350723,21.563037717944674,0.785977966678046,0.42151336946655227,20.16867125282439
2,windows 11,Track time,0,Text length,1000,540,1207,984,37,0.7437198619889345,0.3453581332162591,21.724825046559143,0.7815361389087905,0.4100449898666893,20.423471007510553
3,windows 11,Track time,0,Text length,2000,540,936,984,37,0.7683157202218601,0.4141145804328597,20.947096457701335,0.8062176838195891,0.48597255668296196,19.864897445949765
4,windows 11,Track time,0,Text length,3000,540,579,984,37,0.7800217004219953,0.4522215467213204,20.494411868135362,0.8236310696675374,0.5386901363421105,19.271524424858427
5,windows 11,Track time,0,Text length,5000,540,289,984,37,0.795351525768955,0.5146628075468628,19.41751043669403,0.857656738833798,0.6405325766413243,17.012879444758404
6,windows 11,Track time,0,Text length,7500,540,123,984,37,0.7459693880774186,0.43141287377008647,21.510625342046644,0.8170219207333472,0.5439009154997549,19.338894932945898
7,windows 11,Track time,0,Text length,10000,540,58,984,37,0.6947340336940546,0.3615765711430378,23.19677762884025,0.782914582938364,0.47346985958787163,21.472334400456337
8,windows 11,Track time,5,Text length,0,540,1349,909,37,0.7469311195435506,0.34737567502465716,21.650796681430073,0.7846400970522684,0.41511400759159733,20.27891145990738
9,windows 11,Track time,5,Text length,100,540,1294,909,37,0.7438658170671236,0.3425527148827682,21.798123451541816,0.7819754829632563,0.40853814255972154,20.535516807224816
10,windows 11,Track time,5,Text length,1000,540,1207,909,37,0.7399874309433523,0.3345148413008406,21.968308156871487,0.7777083228920123,0.39740880111355403,20.782691429818268
11,windows 11,Track time,5,Text length,2000,540,936,909,37,0.7651835465358812,0.4048171933715631,21.27442552280805,0.8032780124840021,0.4760913229297556,20.228744800920413
12,windows 11,Track time,5,Text length,3000,540,579,909,37,0.7773869864750829,0.4442386281731866,20.829322876431632,0.821283869595725,0.5307710415129548,19.680523804480014
13,windows 11,Track time,5,Text length,5000,540,289,909,37,0.7932354857106679,0.508838006407767,19.60463425074497,0.8558293376489119,0.6350166313612969,17.253033696485584
14,windows 11,Track time,5,Text length,7500,540,123,909,37,0.7428134612874109,0.42277260516975146,21.71769411336705,0.8174910449143852,0.5413008940555588,19.614633451827466
15,windows 11,Track time,5,Text length,10000,540,58,909,37,0.6913670717859879,0.35251801902743474,23.37048747693279,0.7829429457439768,0.4679781791261064,21.51484696785819
16,windows 11,Track time,10,Text length,0,540,1349,772,37,0.7530554940966626,0.36782647041515626,21.258928618844973,0.7938029700820415,0.4438086155469265,19.719941036203807
17,windows 11,Track time,10,Text length,100,540,1294,772,37,0.7499060644620524,0.36307410439019033,21.447224950789654,0.7913657371140705,0.43778288004294386,19.935345228575205
18,windows 11,Track time,10,Text length,1000,540,1207,772,37,0.7461555195637224,0.3552540946254595,21.59863103643715,0.7872938245168962,0.42691205265423254,20.22361113050334
