,Term,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,metaverse,503,2009,972,219,0.7935537299609717,0.6876429235974494,14.970479870596689,0.8237365148563387,0.7374224100934365,14.328895677276035
1,quantum computing,502,404,996,42,0.8318122529874352,0.5009791079362365,13.929758432069995,0.8913461812387932,0.6470696705067144,11.92046285945198
2,artificial intelligence,503,832,987,228,0.868980717769851,0.7361235976886022,15.405279076997909,0.8971144749318858,0.7819909218723321,14.940248579312025
3,covid-19,478,1017,974,119,0.8298543274463853,0.5171181769033263,15.110104739010998,0.8679795381085313,0.616175008360258,13.415520496224381
4,deep fake,532,411,934,300,0.8828321546207534,0.7824156617882342,14.045850831334427,0.9174699536183356,0.8753001484392797,12.55432408094153
5,windows 11,540,1352,984,37,0.7504047575951374,0.35695214058602714,21.443742341518412,0.7879984828958854,0.42599713543415546,19.943526600382746
6,vpn,502,2011,1000,229,0.8243201860026923,0.46446200674704413,28.072755320449307,0.8594574958053425,0.5458263346745886,27.34499693809642
7,social media,503,950,972,209,0.8527363630497428,0.41956103502256803,24.215349858725848,0.9023633248914074,0.5343323475169246,20.4246494141767
8,chatGPT,518,669,990,206,0.9732662816341089,0.964110681071911,4.696307202535072,0.9850224115912952,0.9800721917031683,4.443289295397409
9,oscars,527,796,987,158,0.1577690811523822,0.04889867480926083,14.059658213612943,0.39273921435871595,0.2899920016010579,12.733604854663051
